CALIFA_name,Alias
SN2008dr,NGC7222
SN2009P,2MASXJ11203862-0332470
SN2009cz,NGC2789
SN2009dc,UGC10064
SN2010et,2MASXJ17165213+3135024
SN2011fe,SN2011fe
SN2011gy,UGC2756
SN2011io,2MASXJ23024668+0848186
SN2011iu,UGC12809
SN2012bh,UGC7228
SN2012bp,LEDA2081417
SN2012fb,SDSSJ015051.24+330823.0
SN2012fk,LEDA9572
SN2012fk_b,LEDA9568
SN2012fk_c,
SN2012go,SDSSJ023052.08+222832.3
SN2012hl,LEDA1709570
SN2012id,2MASXJ04424248+1835003
SN2012ij,MCG+03-30-038
SN2013N,2MASXJ11500404+2116472
SN2013fw,NGC7042
SN2013gv,IC1890
SN2013hh,UGC6483
SN2014D,UGC7170
SN2014aa,NGC3861
SN2014dl,UGC10414
SN2016cyt,NGC7033
SN2016hnk,MCG-01-06-070
SN2017ya,GaiaDR32768560834107627648
SNhunt175,NGC5910
SQaF1,NGC7318
SQaF2,NGC7318
SQbF1,NGC7318
SQbF2,NGC7318
SQcF1,NGC7318
SQcF2,NGC7318
SQdF1,NGC7318
SQdF2,NGC7318
Sa,M82
Sb,M82
UGC00005,
UGC00029,
UGC00036,
UGC00139,
UGC00148,
UGC00312,
UGC00312NED01,Mrk552
UGC00335NED01,UGC335
UGC00335NED02,UGC335S
UGC00386,
UGC00809,
UGC00841,
UGC00987,
UGC01014,
UGC01057,
UGC01062,
UGC01123,
UGC01271,
UGC01274,
UGC01368,
UGC01659,
UGC01749,
UGC01918,
UGC01938,
UGC02018,
UGC02099,
UGC02134,
UGC02175,
UGC02222,
UGC02225,
UGC02229,
UGC02239,
UGC02311,
UGC02319,
UGC02367,
UGC02403,
UGC02405,
UGC02443,
UGC02465,
UGC02628,
UGC02690,
UGC03038,
UGC03107,
UGC03151,
UGC03253,
UGC03539,
UGC03552,
UGC03627,
UGC03789,
UGC03816,
UGC03816bis,UGC3816
UGC03899,
UGC03944,
UGC03960,
UGC03969,
UGC03973,
UGC03995,
UGC04029,
UGC04054,
UGC04132,
UGC04136,
UGC04140,
UGC04145,
UGC04176,
UGC04179,
UGC04190,
UGC04195,
UGC04197,
UGC04210,
UGC04233,
UGC04240,
UGC04241,
UGC04245,
UGC04258,
UGC04262,
UGC04280,
UGC04308,
UGC04375,
UGC04425,
UGC04455,
UGC04461,
UGC04468,
UGC04532,
UGC04546,
UGC04550,
UGC04551,
UGC04659,
UGC04722,
UGC04730,
UGC04981,
UGC04988,
UGC05108,
UGC05111,
UGC05113,
UGC05187,
UGC05244,
UGC05326,
UGC05358,
UGC05359,
UGC05377,
UGC05396,
UGC05498NED01,UGC5498
UGC05520,
UGC05598,
UGC05771,
UGC05976,
UGC05990,
UGC06035,
UGC06036,
UGC06181,
UGC06249,
UGC06256,
UGC06312,
UGC06320,
UGC06517,
UGC07012,
UGC07129,
UGC07145,
UGC08004,
UGC08107,
UGC08231,
UGC08234,
UGC08250,
UGC08267,
UGC08322,
UGC08503,
UGC08516,
UGC08662,
UGC08733,
UGC08778,
UGC08781,
UGC08984,
UGC08988,
UGC09056,
UGC09067,
UGC09071,
UGC09080,
UGC09110,
UGC09113,
UGC09165,
UGC09182,
UGC09199,
UGC09253,
UGC09262,
UGC09291,
UGC09356,
UGC09401,
UGC09448,
UGC09476,
UGC09492,
UGC09518,
UGC09537,
UGC09539,
UGC09542,
UGC09598,
UGC09629,
UGC09665,
UGC09708,
UGC09711,
UGC09759,
UGC09777,
UGC09842,
UGC09868,
UGC09873,
UGC09892,
UGC09901,
UGC09919,
UGC09937,
UGC10042,
UGC10043,
UGC10063,
UGC10097,
UGC10117,
UGC10123,
UGC10205,
UGC10257,
UGC10297,
UGC10331,
UGC10337,
UGC10380,
UGC10384,
UGC10388,
UGC10650,
UGC10693,
UGC10695,
UGC1071,
UGC10710,
UGC10738,
UGC10796,
UGC10803,
UGC10811,
UGC10905,
UGC10972,
UGC11162,
UGC11228,
UGC11262,
UGC112866,
UGC11415,
UGC11649,
UGC11680NED01,2MASXJ21074136+0352182
UGC11680NED02,Mrk897
UGC11694,
UGC11717,
UGC11723,
UGC11740,
UGC11792,
UGC11922,
UGC11958,
UGC11975,
UGC11982,
UGC12011,
UGC12054,
UGC12127,
UGC12185,
UGC12224,
UGC12250,
UGC12274,
UGC12308,
UGC12348,
UGC12494,
UGC12494NOTES01,MCG+01-59-041
UGC12518,
UGC12519,
UGC12633,
UGC12640,
UGC12653,
UGC12688,
UGC12723,
UGC12767,
UGC12810,
UGC12816,
UGC12857,
UGC12864,
UGC2308,
UGC2698,
UGC2836,
UGC2912,
UGC2931,
UGC3236,
UGC3312,
UGC3513,
UGC3843,
UGC4310,
UGC4423,
UGC5392,
UGC5695,
UGC6182,
UGC6320,
UGC6837,
UGC6930,
UGC8255,
UGC8255-2,
UGC8472,
UGC8688,
UGC8856A,
UGC8909,
UGC9562,
UGC9661,
UGC9663,
UGC9837,
UGCA021,UGCA21
VIIZw466a,2MASXJ12321078+6624194
VIIZw700,MCG+10-24-117
VV488NED02,MCG-02-58-011
iPTF13dkl,LEDA1251356
iPTF13dkx,SDSSJ012052.56+032023.0
iPTF13ebh,NGC890
iPTF13ez,2MASXJ12095120+1947167
iPTF14gnl,2MASXJ00234829-0351209
sky,M87
sn2001bf,MCG+04-42-022
sn2002eb,2MASXJ22190632+2435537
sn2003gt,NGC6930
sn2004dt,NGC799
sn2005A,NGC958
sn2006gj,UGC2650
sn2008gl,UGC881
sn2008gt,SDSSJ224444.43-030857.5
