# %ECSV 1.0
# ---
# datatype:
# - {name: Alias, datatype: string}
# - {name: ledaName, datatype: string}
# - {name: al2000, datatype: float64}
# - {name: de2000, datatype: float64}
# - {name: type, datatype: string}
# - {name: bar, datatype: string}
# - {name: ring, datatype: string}
# - {name: multiple, datatype: string}
# - {name: t, datatype: float64}
# - {name: agnclass, datatype: string}
# - {name: logd25, datatype: float64}
# - {name: e_logd25, datatype: float64}
# - {name: logr25, datatype: float64}
# - {name: e_logr25, datatype: float64}
# - {name: pa, datatype: float64}
# - {name: bt, datatype: float64}
# - {name: it, datatype: float64}
# - {name: m21, datatype: float64}
# - {name: mfir, datatype: float64}
# - {name: vmaxg, datatype: float64}
# - {name: e_vmaxg, datatype: float64}
# - {name: v, datatype: float64}
# - {name: e_v, datatype: float64}
# - {name: ag, datatype: float64}
# - {name: incl, datatype: float64}
# - {name: vrot, datatype: float64}
# - {name: e_vrot, datatype: float64}
# - {name: vvir, datatype: float64}
# - {name: modz, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
Alias,ledaName,al2000,de2000,type,bar,ring,multiple,t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,bt,it,m21,mfir,vmaxg,e_vmaxg,v,e_v,ag,incl,vrot,e_vrot,vvir,modz
NGC2767,NGC2767,9.1699684,50.4013434,E-S0,B,R,,-3.3,,0.858,0.135,0.06,0.047,166.74,14.511,12.911,,,,,4925.7,2.0,0.081,36.12,,,5084.3,34.352
NGC2771,NGC2771,9.1776802,50.3798352,Sab,B,R,,1.7,,1.239,0.059,0.066,0.042,41.6,13.904,12.487,16.151,,104.42,5.97,5098.6,1.3,0.085,32.58,193.92,12.0,5257.3,34.421
NGC2780,NGC2780,9.2123272,34.9255443,Sb,B,R,,2.7,,1.025,0.046,0.141,0.023,147.31,14.208,13.088,17.206,,109.97,6.29,1955.2,2.4,0.103,45.91,153.12,8.91,2045.7,32.384
NGC2748,NGC2748,9.2286194,76.4753333,Sbc,,,,4.0,,1.415,0.046,0.368,0.063,38.67,12.391,10.74,13.792,10.821,129.01,3.23,1477.5,2.9,0.115,68.13,139.02,3.56,1725.3,32.018
NGC2789,NGC2789,9.2499129,29.7303409,S0-a,B,R,M,-0.2,,1.06,0.045,0.076,0.03,35.74,13.695,12.317,16.425,12.155,184.68,6.99,6339.5,5.7,0.112,36.08,313.59,12.75,6406.2,34.853
2MASXJ09160997+4937320,2MASXJ09160997+4937320,9.2694377,49.6255986,Sa,,,,1.0,,0.933,0.177,0.386,0.1,85.6,16.321,14.866,,,,,21086.7,4.7,0.06,74.87,,,21244.3,37.506
NGC2793,NGC2793,9.2796176,34.4316846,Sm,B,,M,8.7,,1.048,0.054,0.079,0.033,,13.39,,15.42,13.325,48.33,1.39,1684.1,3.3,0.073,37.4,79.56,2.53,1774.1,32.067
NGC2787,NGC2787,9.3217874,69.2033065,S0-a,B,R,,-1.0,S3b,1.51,0.024,0.253,0.029,113.5,11.602,9.06,14.157,,166.33,12.26,696.8,10.6,0.576,66.12,181.89,13.51,925.7,30.694
NGC2805,NGC2805,9.3389935,64.1029681,SABc,B,R,M,6.9,,1.53,0.028,0.089,0.03,153.98,11.787,10.766,13.012,,41.4,0.91,1733.0,2.1,0.219,36.01,70.41,1.71,1946.1,32.254
UGC04988,UGC04988,9.3875561,34.7343497,Sm,B,,,8.9,,1.052,0.065,0.124,0.037,62.69,15.551,14.462,16.479,,62.08,2.64,1574.3,2.6,0.078,46.57,85.49,3.8,1668.9,31.968
UGC04981,UGC04981,9.40055,68.5623611,Sb,,,,3.1,,1.068,0.042,0.512,0.028,148.49,14.536,,,13.735,285.1,13.44,4022.5,62.2,0.357,79.82,289.67,13.69,4250.5,33.952
IC2481,IC2481,9.4580014,3.9296091,SBbc,B,,,3.9,,0.92,0.051,0.252,0.026,160.89,14.485,13.312,15.76,13.557,113.84,3.22,5325.9,3.7,0.201,58.37,133.7,3.85,5272.2,34.421
NGC2880,NGC2880,9.4929378,62.4906177,E-S0,B,R,,-2.6,,1.368,0.058,0.221,0.057,141.66,12.525,11.148,,,,,1481.0,50.0,0.143,68.45,,,1691.3,31.968
IC2487,IC2487,9.502554,20.0909112,Sb,,R,,3.1,,1.264,0.031,0.599,0.022,164.34,14.131,12.855,14.895,13.488,171.14,4.44,4339.1,1.6,0.211,90.0,171.14,,4366.5,34.013
IC0540,IC0540,9.5028622,7.9027107,Sab,,,,2.1,,1.03,0.101,0.596,0.048,170.79,14.692,13.118,17.077,,117.0,5.42,2041.3,8.2,0.262,90.0,117.0,,2008.6,32.341
NGC2906,NGC2906,9.5350625,8.4418092,Sc,,,M,5.7,,1.132,0.076,0.226,0.047,70.71,13.173,11.785,15.639,12.376,156.66,2.97,2279.0,54.1,0.205,54.96,191.34,3.82,2250.1,32.585
NGC2916,NGC2916,9.5826648,21.7052457,Sb,,,,3.1,,1.378,0.036,0.157,0.045,15.65,12.745,12.306,14.959,12.551,172.33,5.91,3716.2,3.7,0.115,47.92,232.18,8.36,3754.2,33.686
UGC05108,UGC05108,9.5906365,29.8126339,SBab,B,R,,2.1,,1.039,0.046,0.412,0.028,142.22,14.802,13.142,16.197,12.925,226.58,8.03,8135.5,0.9,0.075,74.38,235.26,8.38,8212.9,35.39
NGC2918,NGC2918,9.5955682,31.7054665,E,,,,-4.7,,1.192,0.038,0.167,0.026,65.83,13.519,11.992,,,,,6756.3,2.7,0.083,77.27,,,6842.8,34.989
UGC05111,UGC05111,9.6145772,66.7883459,Sbc,,,,4.0,,1.174,0.068,0.738,0.063,119.59,15.267,13.287,16.334,13.215,211.71,9.5,6731.3,1.9,0.402,90.0,211.71,,6956.9,35.029
UGC05113,UGC05113,9.6158578,66.5486733,SBab,B,,,1.9,,1.028,0.087,0.67,0.051,43.48,15.132,13.184,,,,,6812.1,2.7,0.388,90.0,,,7037.0,35.055
NGC2926,NGC2926,9.6252792,32.8414077,SBbc,B,,,4.0,,0.919,0.106,0.048,0.056,119.63,14.435,13.482,16.342,13.345,107.47,2.72,4359.8,1.8,0.072,27.14,235.63,8.12,4452.5,34.054
NGC2937,NGC2937,9.6291737,2.7473848,E,,,M,-4.9,,0.876,0.059,0.142,0.029,22.05,14.604,13.15,,,,,6789.6,2.9,0.146,70.3,,,6736.3,34.963
NGC2949,PGC027579,9.6656667,16.7858333,,,,M,,,,,,,,15.3,,,,,,,,0.126,,,,,
MCG+08-18-021,UGC05151,9.6741715,48.337665,Sm,,,,9.2,,0.819,0.106,0.071,0.04,15.82,13.735,13.343,15.092,13.722,47.06,3.13,770.8,1.0,0.099,35.59,80.88,5.71,932.6,30.694
MCG+10-14-033,UGC05179,9.7171203,58.973623,E,,,,-5.0,,1.056,0.041,0.229,0.034,135.96,14.978,13.485,17.906,,40.68,2.66,1348.1,0.6,0.068,90.0,40.68,,1550.5,31.809
UGC05187,UGC05187,9.7184039,41.0929644,Scd,B,,,7.0,,0.992,0.043,0.083,0.025,135.22,14.219,13.685,14.88,,54.94,2.1,1465.0,3.9,0.079,34.81,96.23,3.89,1597.6,31.863
2MASXJ09450774+5840088,PGC3086846,9.7521559,58.6691702,Sc,,,,6.4,,0.816,0.21,0.386,0.1,73.3,16.52,15.728,,,,,8890.1,2.2,0.05,67.69,,,9092.1,35.613
UGC05244,UGC05244,9.8133444,64.167634,Sc,,,,5.9,,1.178,0.048,0.88,0.047,32.07,15.137,13.975,15.701,,104.42,3.62,3014.4,4.6,0.245,90.0,104.42,,3235.2,33.358
NGC3021,NGC3021,9.8492081,33.5535186,Sbc,,,,4.0,,1.133,0.07,0.226,0.046,109.67,12.55,11.161,14.889,11.477,112.96,3.2,1538.2,2.3,0.058,55.7,136.74,4.02,1641.0,31.916
UGC05326,UGC05326,9.9234669,33.2626251,IB,B,,M,9.7,,0.966,0.047,0.016,0.027,,14.515,13.642,15.771,,45.25,1.03,1440.5,11.3,0.069,16.89,155.75,5.79,1544.4,31.754
M82,NGC3034,9.9312008,69.6797719,S?,,,M,7.2,,2.041,0.022,0.333,0.051,65.75,8.939,,11.281,5.584,63.88,3.3,231.3,5.7,0.677,76.91,65.59,3.43,469.2,
UGC05358,UGC05358,9.9797592,11.3886798,Sb,B,,,3.1,,1.121,0.039,0.486,0.034,76.28,15.164,14.626,15.661,,86.14,1.94,2916.0,1.4,0.154,77.75,88.14,2.0,2917.6,33.129
UGC05359,UGC05359,9.9810167,19.2149883,SABb,B,,,3.9,,1.192,0.04,0.422,0.028,95.27,14.918,13.584,15.502,,208.32,7.31,8470.8,,0.103,72.04,218.99,7.73,8510.5,35.467
2MASXJ09591230-0900095,2MASXJ09591230-0900095,9.98675,-9.0026389,,,,,,,,,,,45.0,,,,,,,,,0.288,,,,,
2MASXJ09591475+1259161,PGC028859,9.9874328,12.9879054,S?,,,,4.4,,0.738,0.071,0.125,0.032,26.93,15.618,14.863,,,,,10288.0,3.2,0.132,42.65,,,10297.7,35.89
UGC05377,UGC05377,10.0087702,3.2052904,SABd,B,R,,7.9,,0.81,0.062,0.126,0.025,74.39,14.78,14.112,15.617,,65.8,3.06,2147.7,3.8,0.106,46.79,90.28,4.31,2110.6,32.466
2MASXJ10011189+0019458,PGC029001,10.0199711,0.3293289,Sc,,,,5.0,,0.766,0.062,0.094,0.029,47.59,15.438,14.384,,,,,10339.4,2.5,0.127,37.17,,,10288.9,35.89
UGC05392,UGC05392,10.0266148,21.6074993,Sc,,,,6.1,,1.088,0.039,0.763,0.03,11.03,15.909,14.592,16.999,13.463,172.09,4.71,6201.7,4.8,0.126,90.0,172.09,,6254.5,34.796
UGC05396,UGC05396,10.0279095,10.7564347,Sc,,,,5.8,,1.166,0.031,0.416,0.034,155.94,14.577,13.286,15.627,,152.63,2.73,5402.3,1.9,0.133,69.95,162.48,2.94,5402.6,34.472
UGC5391,UGC05391,10.0281,37.247692,SBm,B,,,8.9,,1.298,0.031,0.555,0.02,168.26,14.795,,14.729,,84.52,3.36,1569.1,5.1,0.068,90.0,84.52,,1693.9,31.968
NGC3106,NGC3106,10.0681263,31.1854293,S0,,R,,-1.8,,0.95,0.052,0.56,0.028,123.7,13.31,12.128,15.582,,102.34,4.04,6193.7,2.7,0.104,90.0,102.34,,6292.7,34.81
NGC3057,NGC3057,10.0942421,80.2856861,Sd,B,,,7.8,,1.16,0.04,0.198,0.028,7.96,13.589,,15.064,13.707,55.12,2.44,1525.1,3.6,0.103,58.32,64.77,2.92,1787.1,32.115
2MASXJ10091969+1459268,PGC213672,10.1554696,14.9908844,S0-a,,R,,0.1,,0.592,0.317,0.105,0.095,156.04,15.972,14.617,,,,,9203.3,3.6,0.194,41.85,,,9228.9,35.653
PGC029708,PGC029708,10.2010154,23.08551,Sa,,,M,1.0,,1.195,0.037,0.782,0.025,61.37,15.065,13.43,15.843,13.686,228.88,17.0,6296.4,3.4,0.113,90.0,228.88,,6362.3,34.839
NGC3158,NGC3158,10.230702,38.764939,E,,,,-4.8,,1.365,0.03,0.077,0.028,151.58,12.894,11.611,,,,,6921.1,2.0,0.057,47.39,,,7058.5,35.055
NGC3160,NGC3160,10.2319672,38.8429692,Sab,B,,,2.0,,1.096,0.078,0.693,0.046,140.09,15.02,13.234,,,,,6861.1,2.7,0.059,90.0,,,6998.8,35.042
UGC05520,UGC05520,10.2501336,65.1399151,Sc,B,,M,5.8,,1.213,0.034,0.195,0.023,101.69,14.322,13.256,14.472,,113.71,3.27,3306.2,5.3,0.165,51.6,145.09,4.27,3536.9,33.565
MCG+08-19-17,PGC030128,10.3161078,46.4540955,Sbc,,,,4.3,,0.539,0.088,0.127,0.025,68.67,15.979,14.994,,,,,8972.5,2.9,0.049,43.07,,,9143.2,35.633
NGC3182,NGC3182,10.3258397,58.2057721,S0-a,,R,,0.3,,1.283,0.056,0.081,0.053,145.05,12.947,11.798,16.89,,126.7,6.72,2098.7,3.3,0.053,36.64,212.29,12.27,2310.5,32.623
UGC05598,UGC05598,10.3705635,20.5894374,Sab,,R,,2.5,,1.103,0.039,0.525,0.033,35.39,15.338,13.485,15.588,13.785,155.0,6.85,5636.4,1.9,0.114,83.03,156.15,6.92,5696.7,34.585
NGC3227,NGC3227,10.3918359,19.8649777,SABa,B,,M,1.5,S,1.6,0.027,0.33,0.028,156.0,11.548,,14.255,10.793,120.92,3.78,1128.6,4.7,0.098,68.34,130.1,4.1,1186.2,31.252
NGC3220,NGC3220,10.395709,57.0269647,Sb,,,,3.4,,1.071,0.043,0.389,0.027,95.73,13.911,13.321,15.156,,80.75,6.5,1165.1,5.6,0.065,70.36,85.74,6.92,1374.7,31.518
UGC05695,UGC05695,10.4963301,13.0181275,Sb,,R,,2.7,,1.1,0.039,0.435,0.024,93.23,14.836,13.85,15.673,,101.4,2.34,2938.8,3.0,0.167,74.95,105.0,2.44,2967.7,33.188
NGC3300,NGC3300,10.6106743,14.1712429,S0,B,R,,-1.8,,1.184,0.04,0.291,0.025,173.64,13.323,11.918,,,,,3017.7,1.4,0.165,75.44,,,3056.5,33.246
NGC3303,NGC3303,10.6166915,18.1358324,Sa,,,M,0.5,S3,1.04,0.046,0.175,0.027,157.0,14.441,,16.295,,153.41,8.16,6277.3,25.5,0.119,52.53,193.31,10.45,6335.0,34.825
UGC05771,UGC05771,10.6220393,43.5875923,S0-a,,,,-0.3,,1.145,0.043,0.163,0.025,56.65,14.565,12.763,17.411,,194.07,12.06,7399.9,4.2,0.062,51.92,246.54,15.54,7568.1,35.216
NGC3310,NGC3310,10.6460783,53.5033384,SABb,B,R,M,4.0,H2,1.255,0.048,0.016,0.049,,11.284,,13.289,9.482,79.38,2.17,990.5,2.3,0.097,16.1,286.26,14.95,1194.4,31.252
NGC3323,NGC3323,10.6608443,25.3227447,SBbc,B,,,3.8,,0.977,0.051,0.259,0.027,171.16,14.336,13.446,15.232,12.609,132.29,5.57,5193.0,3.7,0.107,59.11,154.15,6.57,5285.6,34.421
NGC3353,NGC3353,10.7562208,55.9603651,SABb,B,,M,4.1,H2,1.133,0.045,0.143,0.043,75.69,13.221,12.645,14.939,11.492,41.37,2.04,941.9,0.6,0.032,45.47,58.03,2.96,1156.0,31.181
NGC3381,NGC3381,10.8068937,34.7114023,SBbc,B,,,3.6,,1.305,0.053,0.044,0.042,75.87,12.893,12.397,14.807,12.551,43.29,1.53,1628.1,1.0,0.089,26.26,97.85,4.19,1766.6,32.067
IC2604,IC2604,10.8236304,32.7727539,SBm,B,,M,9.0,,1.073,0.039,0.06,0.03,39.6,14.855,13.841,14.97,,63.12,2.41,1629.5,3.3,0.14,32.59,117.17,4.93,1760.4,32.067
NGC3395,NGC3395,10.8305861,32.9828333,Sc,B,,M,5.8,,1.204,0.06,0.256,0.041,40.45,12.395,,13.505,,86.06,2.45,1619.0,2.5,0.107,57.84,101.66,2.97,1751.0,32.067
NGC3396,NGC3396,10.8319653,32.9908234,Sm,B,,M,9.3,,1.491,0.052,0.387,0.041,97.47,12.554,12.542,14.052,,74.36,3.95,1694.2,17.9,0.107,90.0,74.36,,1826.3,32.115
2MASXJ10514368+5101195,NGC3406,10.8621233,51.0221719,E,,,M,-3.8,,1.161,0.084,0.156,0.046,84.42,13.835,12.835,,,,,7480.2,2.4,0.056,62.31,,,7681.3,35.252
UGC05976,UGC05976,10.8674506,55.6011322,Sc,,,,6.1,,1.061,0.04,0.086,0.026,40.07,15.122,14.131,,,36.15,1.84,1211.4,4.3,0.066,35.43,62.35,3.3,1426.9,31.639
UGC05990,UGC05990,10.8773215,34.4829984,SBab,B,,,2.1,,1.113,0.037,0.601,0.027,14.94,15.01,13.866,16.009,,80.27,2.69,1572.2,2.0,0.083,90.0,80.27,,1712.1,32.018
2MASXJ10525434+2335518,PGC1690176,10.8817563,23.5976362,Sbc,,,M,3.6,,0.574,0.098,0.125,0.033,132.87,16.955,15.449,,,,,18072.7,5.0,0.11,42.96,,,18165.5,37.154
NGC3451,UGC06023,10.905813,27.2399047,Sc,B,,,6.5,,1.229,0.057,0.317,0.046,49.72,13.501,12.707,15.038,12.561,105.91,2.37,1333.3,2.1,0.094,62.73,119.15,2.73,1443.2,31.639
UGC06035,UGC06035,10.92472,17.1418479,IB,B,,M,9.9,,0.987,0.046,0.19,0.028,177.0,15.151,,15.48,,15.57,0.49,1072.5,1.4,0.131,57.15,18.53,0.6,1137.3,31.107
UGC06036,UGC06036,10.9320145,36.8615236,SABa,B,R,,2.0,,1.18,0.071,0.663,0.047,100.62,14.428,12.769,17.757,,239.13,25.5,6529.0,17.3,0.073,90.0,239.13,,6680.3,34.936
MCG+07-23-003,PGC032873,10.9377925,42.3331344,S0-a,,,,-0.5,,0.881,0.063,0.436,0.029,42.85,15.183,13.449,,,,,7488.5,2.5,0.055,90.0,,,7661.1,35.24
MCG+09-18-064,PGC033110,10.9961166,53.8036369,E,,,,-5.0,,0.929,0.058,0.175,0.033,146.61,15.624,13.739,,,,,21330.5,4.9,0.057,90.0,,,21543.6,37.534
NGC3499,NGC3499,11.0530655,56.2217634,S0-a,,,,-0.4,,0.918,0.111,0.064,0.048,19.6,14.195,12.599,,,,,1519.7,1.6,0.037,33.22,,,1741.1,32.018
Arp148,PGC033423,11.0650524,40.8500932,I,,R,M,10.0,,0.775,0.145,0.145,0.062,96.03,16.03,14.861,,11.197,,,10428.9,7.9,0.038,50.1,,,10599.8,35.952
UGC06181,UGC06181,11.1296206,19.5491634,I,,,,9.7,,1.017,0.056,0.18,0.028,48.0,15.445,,16.063,,28.94,0.92,1169.5,2.3,0.104,55.67,35.04,1.15,1253.1,31.322
UGC06182,UGC06182,11.1341542,53.6163098,I,,,,10.0,,0.976,0.047,0.097,0.028,78.63,15.244,15.807,15.108,,37.59,1.66,1234.4,1.2,0.045,41.32,56.93,2.63,1450.1,31.639
IC0674,IC0674,11.1850998,43.633019,Sab,B,R,,2.0,,1.138,0.041,0.52,0.028,121.03,14.356,12.945,15.98,,241.85,9.27,7507.0,5.9,0.064,85.27,242.68,9.33,7691.6,35.252
2MASXJ11123493+1204206,PGC3090986,11.2096962,12.0723759,Sbc,,R,,3.9,,0.696,0.251,0.107,0.1,101.29,16.655,15.159,,,,,13724.1,2.4,0.083,39.97,,,13776.1,36.534
UGC06249,UGC06249,11.2223976,59.9079749,Sc,,,,6.1,,1.19,0.07,0.016,0.048,,14.586,13.918,14.74,,43.01,1.36,1059.4,1.2,0.047,15.89,157.06,8.84,1294.3,31.389
UGC06256,UGC06256,11.2322644,65.1776889,Sc,,,,5.8,,1.089,0.057,0.812,0.05,87.73,15.894,14.434,,,129.97,5.37,3398.6,3.3,0.057,90.0,129.97,,3645.6,33.614
NGC3600,NGC3600,11.264445,41.5911199,SBa,B,,,1.4,,1.273,0.04,0.502,0.028,3.53,12.984,12.578,13.6,12.805,86.91,3.1,703.3,2.0,0.083,87.65,86.98,3.11,883.0,30.601
NGC3605,NGC3605,11.2796117,18.0171489,E,,R,,-4.4,,1.097,0.066,0.245,0.035,18.72,13.164,,,,,,675.2,14.9,0.089,90.0,,,757.5,30.296
UGC06312,UGC06312,11.3000542,7.8449016,Sa,B,,,0.9,,1.072,0.042,0.37,0.025,47.04,14.725,12.949,15.508,,253.02,13.15,6332.0,7.1,0.182,73.46,263.93,13.77,6367.7,34.839
NGC3615,NGC3615,11.301849,23.3973077,E,,,,-4.9,,1.179,0.038,0.219,0.025,40.05,13.887,11.936,,,,,6612.3,2.7,0.078,90.0,,,6719.6,34.949
UGC06320,UGC06320,11.3047905,18.8470795,Sm,,,,9.0,,1.129,0.04,0.027,0.025,,13.699,13.401,15.841,,20.91,0.81,1121.5,2.5,0.097,21.98,55.86,2.61,1208.6,31.252
NGC3614,NGC3614,11.3059266,45.7482127,SABc,B,R,,5.2,,1.398,0.038,0.157,0.031,87.69,13.01,11.733,14.019,12.922,131.5,3.05,2328.9,1.6,0.061,46.98,179.85,4.38,2524.3,32.839
NGC3610,NGC3610,11.3070194,58.7862361,E,B,R,,-3.9,,1.378,0.042,0.004,0.05,,11.627,,,,,,1699.7,19.5,0.044,10.22,,,1933.5,32.254
NGC3619,NGC3619,11.3226594,57.7578059,S0-a,,,,-1.0,,1.59,0.044,0.102,0.053,25.0,12.534,,15.527,13.615,165.11,6.04,1544.3,11.6,0.076,42.41,244.83,9.81,1775.8,32.067
2MASXJ11203862-0332470,PGC034730,11.3440625,-3.5463611,SBb,B,,,3.0,,0.753,0.064,0.083,0.024,111.5,15.544,14.2,,,,,7525.1,21.3,0.212,35.74,,,7508.1,35.192
NGC3655,NGC3655,11.3818372,16.5901972,Sc,,,,5.0,,1.162,0.064,0.16,0.037,32.0,12.317,10.8,14.791,10.787,134.13,3.1,1500.7,1.5,0.11,47.52,181.86,4.46,1580.5,31.809
NGC3687,NGC3687,11.46683,29.5110084,Sbc,B,R,M,3.8,,1.147,0.033,0.455,0.058,173.32,12.986,12.073,15.005,,76.09,2.3,2502.8,1.5,0.096,74.41,78.99,2.41,2642.1,32.94
UGC6483,UGC06483,11.4839887,17.2319433,Sc,,,,5.8,,1.228,0.03,0.77,0.027,67.86,15.252,13.555,14.746,,147.91,2.9,3893.7,0.9,0.136,90.0,147.91,,3980.2,33.823
MCG+10-17-007,PGC035451,11.5047995,58.1339605,Sm,,,,8.9,,1.005,0.049,0.056,0.026,113.33,14.593,13.991,15.746,,28.33,1.69,1448.7,3.4,0.062,31.75,53.83,3.41,1685.0,31.968
IC701,IC0701,11.5168529,20.4689366,Sd,B,,M,8.1,,0.869,0.059,0.127,0.026,76.56,15.08,13.74,15.79,13.377,76.63,7.28,6144.0,4.3,0.097,47.04,104.72,10.09,6246.3,34.796
UGC06517,UGC06517,11.5340042,36.6980246,Sbc,B,,M,3.9,,1.198,0.069,0.236,0.05,38.28,14.034,13.368,15.392,,102.51,4.05,2494.6,3.0,0.121,56.85,122.44,4.97,2664.6,32.94
2MASXJ11343703+5453289,PGC213858,11.5769485,54.8913443,S?,,,,2.1,,0.776,0.069,0.541,0.027,42.85,16.52,15.32,,,,,5771.4,3.9,0.071,90.0,,,6001.1,34.708
LEDA35860,PGC035860,11.5975413,34.2821384,Sm,,,M,8.7,,0.623,0.083,0.27,0.028,117.01,17.165,16.509,16.995,,22.98,1.71,6302.2,2.5,0.084,68.13,24.76,1.85,6465.1,34.867
MCG+03-30-021,PGC035943,11.6150682,19.9970862,Sc,,,,5.8,,0.876,0.042,0.095,0.031,35.62,14.752,13.677,17.321,12.185,117.17,7.52,6638.8,4.3,0.112,37.29,193.38,12.84,6742.7,34.963
Mrk181,UGC06583,11.6150928,19.97153,SBd,B,,,8.4,,0.897,0.05,0.227,0.023,5.68,14.35,13.079,15.751,12.257,160.83,4.12,6226.4,12.2,0.112,62.3,181.65,4.75,6330.3,34.825
NGC3773,NGC3773,11.6369255,12.1120216,S0,,,M,-2.1,,1.089,0.043,0.102,0.024,161.37,13.315,13.012,16.104,12.852,38.03,1.63,987.8,2.2,0.117,44.25,54.49,2.43,1056.7,30.951
UGC6609,UGC06609,11.6415148,20.5277044,E,,,,-4.9,,1.128,0.037,0.55,0.028,97.54,14.717,12.986,,,,,7712.0,27.0,0.119,90.0,,,7819.3,35.287
NGC3774,NGC3774,11.6417389,-8.9760556,Sb,B,,,3.1,,1.044,0.042,0.22,0.028,79.33,14.74,13.07,,,,,6150.0,30.0,0.164,55.6,,,6118.9,34.752
2MASXJ11385100+1936053,PGC036082,11.6474981,19.6014352,Sc,,,M,5.2,,0.717,0.078,0.028,0.027,,15.755,14.748,,,,,6803.2,4.0,0.083,20.92,,,6906.7,35.016
MCG+03-30-030,PGC036132,11.656793,19.5347001,Sb,,,,3.0,,0.896,0.052,0.26,0.031,76.99,15.407,13.6,17.231,,113.54,2.84,6768.6,4.7,0.096,59.81,131.36,3.35,6872.1,35.003
MCG+03-30-038,PGC036194,11.6711337,17.4572623,E,,R,,-4.0,,0.91,0.068,0.124,0.027,140.32,14.686,13.115,16.468,,59.96,3.17,3136.8,9.4,0.118,56.08,72.26,3.92,3231.5,33.358
MCG+08-21-090,PGC036230,11.6798224,46.5405076,E,,,,-5.0,,1.076,0.143,0.118,0.1,160.16,15.082,13.275,,,,,16065.4,4.9,0.087,62.56,,,16273.7,36.905
NGC3811,NGC3811,11.6879558,47.6908329,SBc,B,R,,5.7,,1.307,0.043,0.127,0.032,172.45,12.939,11.929,14.555,12.04,127.68,3.37,3152.0,20.9,0.082,42.54,188.83,5.3,3364.1,33.438
NGC3815,NGC3815,11.694251,24.8005045,Sab,,,,2.0,,1.158,0.04,0.274,0.027,70.07,14.081,12.672,14.94,,158.12,4.18,3703.0,4.0,0.129,62.24,178.68,4.79,3830.7,33.732
2MASXJ11421476+1958350,PGC036330,11.7041056,19.9765254,Sm,,,,8.7,,0.722,0.078,0.277,0.036,57.87,15.571,14.418,17.319,,109.83,3.23,7806.6,9.2,0.094,69.02,117.62,3.52,7913.8,35.31
2MASXJ11421561+2002550,PGC036323,11.704342,20.0486954,SBb,B,,,3.0,,0.669,0.071,0.216,0.027,129.15,15.892,15.074,17.198,,56.62,3.41,6104.4,7.7,0.093,55.2,68.96,4.2,6212.0,34.782
2MASXJ11422448+2007100,PGC036349,11.7068073,20.1192316,SBc,B,,,4.5,,0.972,0.04,0.223,0.025,109.45,14.555,13.152,15.886,12.396,153.7,3.39,5977.7,4.1,0.087,55.13,187.34,4.24,6085.7,34.738
MCG+03-30-055,PGC036371,11.7125508,20.0322882,Sb,,,,2.8,,0.973,0.044,0.345,0.029,114.58,14.918,13.143,17.847,,136.73,3.22,6323.3,2.4,0.102,67.73,147.76,3.53,6431.1,34.853
2MASXJ11431309+2000175,PGC036406,11.7203108,20.0047773,I,,,M,10.0,,0.794,0.049,0.236,0.025,102.51,15.864,15.505,17.834,14.31,61.3,2.01,7024.7,7.1,0.1,63.54,68.47,2.28,7132.6,35.08
NGC3842,NGC3842,11.7339369,19.9497354,E,,,,-4.9,,1.33,0.034,0.157,0.027,177.06,12.799,11.585,,14.629,,,6234.7,2.1,0.093,76.38,,,6342.9,34.825
NGC3847,NGC3847,11.7372148,33.5144812,E,,,,-4.8,,1.181,0.046,0.048,0.03,130.33,14.356,12.486,,,,,9517.4,3.4,0.086,37.0,,,9681.9,35.751
UGC6719,UGC06719,11.7464118,20.1250521,Sb,,R,,2.5,,1.016,0.04,0.166,0.023,39.72,14.441,12.752,17.33,14.755,184.58,4.51,6574.2,1.7,0.105,49.44,242.96,6.14,6683.7,34.936
PGC036565,PGC036565,11.7466033,19.7733272,Sa,,,,1.0,,0.662,0.067,0.106,0.027,12.48,15.294,14.876,17.421,12.837,246.0,15.78,8447.0,40.7,0.103,41.09,374.28,24.66,8554.9,35.488
NGC3860,NGC3860,11.7470091,19.7950553,Sab,,,M,2.0,,1.12,0.037,0.264,0.024,39.96,14.247,12.436,17.301,13.164,207.91,13.34,5607.7,3.9,0.104,61.25,237.13,15.31,5715.7,34.601
NGC3861,NGC3861,11.7510836,19.9736211,Sb,B,R,M,3.1,,1.309,0.025,0.306,0.027,60.66,13.547,11.791,15.441,13.619,217.27,4.16,5068.9,7.2,0.138,64.01,241.71,4.72,5177.9,34.387
NGC3893,NGC3893,11.8106075,48.7107662,SABc,B,,M,5.1,,1.43,0.031,0.275,0.024,160.91,10.824,9.686,13.038,10.127,128.08,2.38,961.8,6.2,0.092,59.88,148.07,2.81,1180.2,31.181
NGC3896,NGC3896,11.8156471,48.6747715,SBab,B,,,1.5,,1.151,0.035,0.206,0.025,128.44,13.183,13.305,13.348,,110.57,5.71,918.1,8.4,0.093,55.43,134.28,7.01,1136.5,31.107
NGC3905,NGC3905,11.8180354,-9.7299492,Sc,B,,,4.7,,1.277,0.052,0.168,0.036,62.5,13.407,11.871,15.533,12.972,91.72,4.32,5765.8,5.2,0.169,48.68,122.13,5.91,5738.1,34.601
