# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5406,10.5,67,0.01475,0.009083
NGC5406,13.5,94,0.02379,0.01495
NGC5406,16.5,123,0.03018,0.01982
NGC5406,19.5,148,0.03362,0.02129
NGC5406,22.5,170,0.0314,0.02026
NGC5480,1.5,21,0.2871,0.02629
NGC5480,4.5,63,0.2124,0.04396
NGC5480,7.5,105,0.148,0.03869
NGC5480,10.5,148,0.1122,0.03421
NGC5480,13.5,190,0.08925,0.0346
NGC5480,16.5,233,0.07021,0.03199
NGC5480,19.5,275,0.0538,0.02395
NGC5480,22.5,310,0.04081,0.01478
NGC5520,1.5,14,0.2675,0.01667
NGC5520,4.5,42,0.2297,0.02463
NGC5520,7.5,73,0.1714,0.02644
NGC5520,10.5,102,0.1135,0.02494
NGC5520,13.5,132,0.07193,0.01981
NGC5520,16.5,157,0.04501,0.01835
NGC5520,19.5,179,0.0269,0.01712
NGC5520,22.5,158,0.01681,0.0159
NGC5614,1.5,23,0.6512,0.05474
NGC5614,4.5,69,0.5139,0.1043
NGC5614,7.5,114,0.3907,0.1279
NGC5614,10.5,158,0.2869,0.1278
NGC5614,13.5,206,0.1625,0.09211
NGC5614,16.5,251,0.06657,0.03807
NGC5614,19.5,255,0.02823,0.02945
NGC5614,22.5,130,0.04104,0.04047
NGC5633,1.5,20,0.2477,0.007408
NGC5633,4.5,64,0.2198,0.01337
NGC5633,7.5,104,0.1912,0.01487
NGC5633,10.5,149,0.1661,0.02099
NGC5633,13.5,188,0.1304,0.02949
NGC5633,16.5,231,0.08446,0.02912
NGC5633,19.5,269,0.044,0.02025
NGC5633,22.5,256,0.02322,0.013
NGC5657,1.5,9,0.2809,0.02737
NGC5657,4.5,32,0.2027,0.05531
NGC5657,7.5,52,0.1188,0.06143
NGC5657,10.5,67,0.06804,0.05028
NGC5657,13.5,78,0.04216,0.03546
NGC5657,16.5,65,0.02996,0.02207
NGC5657,19.5,59,0.02098,0.01304
NGC5657,22.5,40,0.0171,0.01105
NGC5784,1.5,19,0.06679,0.01346
NGC5784,4.5,60,0.06618,0.02378
NGC5784,7.5,100,0.05512,0.02694
NGC5784,10.5,137,0.03332,0.021
NGC5784,13.5,137,0.0183,0.01068
NGC5784,16.5,101,0.01003,0.006138
NGC5784,19.5,58,0.006828,0.003729
NGC5784,22.5,26,0.004863,0.001462
NGC5908,1.5,6,0.5189,0.01216
NGC5908,4.5,19,0.5155,0.02044
NGC5908,7.5,32,0.5166,0.03767
NGC5908,10.5,44,0.5316,0.07358
NGC5908,13.5,57,0.5385,0.1051
NGC5908,16.5,69,0.5103,0.1125
NGC5908,19.5,82,0.4462,0.1043
NGC5908,22.5,94,0.3745,0.09925
NGC5930,1.5,20,1.477,0.1419
NGC5930,4.5,60,0.8867,0.2401
NGC5930,7.5,99,0.3404,0.1623
NGC5930,10.5,139,0.09382,0.06677
NGC5930,13.5,139,0.02393,0.01996
NGC5930,16.5,88,0.0106,0.007343
NGC5930,19.5,39,0.006786,0.003051
NGC5930,22.5,23,0.007002,0.001383
NGC5934,1.5,16,0.5847,0.03062
NGC5934,4.5,48,0.4615,0.07489
NGC5934,7.5,79,0.2957,0.1029
NGC5934,10.5,115,0.1495,0.09447
NGC5934,13.5,138,0.07107,0.06202
NGC5934,16.5,131,0.03717,0.03293
NGC5934,19.5,119,0.0173,0.01489
NGC5934,22.5,83,0.007699,0.006182
NGC5947,1.5,23,0.02289,0.008984
NGC5947,4.5,69,0.02073,0.01237
NGC5947,7.5,120,0.02083,0.01071
NGC5947,10.5,154,0.02139,0.008959
