# %ECSV 0.9
# ---
# datatype:
# - {name: GAL_NAME, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: '# of pixels in ring'}
# - {name: SURFDENS, unit: Jy km / (arcsec2 s), datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: Jy km / (arcsec2 s), datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# schema: astropy-2.0
GAL_NAME,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5406,16.5,61,0.03606,0.02604
NGC5406,19.5,69,0.0444,0.02502
NGC5406,22.5,72,0.04003,0.02329
NGC5480,1.5,20,0.4057,0.09301
NGC5480,4.5,63,0.2347,0.1004
NGC5480,7.5,106,0.1492,0.06495
NGC5480,10.5,146,0.1208,0.05214
NGC5480,13.5,191,0.09396,0.05199
NGC5480,16.5,230,0.07627,0.04259
NGC5480,19.5,257,0.06253,0.03281
NGC5480,22.5,269,0.04579,0.02196
NGC5520,1.5,15,0.3267,0.03934
NGC5520,4.5,43,0.2858,0.0502
NGC5520,7.5,71,0.1961,0.04353
NGC5520,10.5,102,0.1107,0.03288
NGC5520,13.5,127,0.06551,0.02495
NGC5520,16.5,142,0.04441,0.02403
NGC5520,19.5,110,0.03064,0.01774
NGC5520,22.5,40,0.02033,0.01512
NGC5614,1.5,23,0.8017,0.1202
NGC5614,4.5,69,0.5063,0.1384
NGC5614,7.5,114,0.3826,0.1389
NGC5614,10.5,158,0.3242,0.1869
NGC5614,13.5,206,0.1694,0.1266
NGC5614,16.5,242,0.05087,0.03173
NGC5614,19.5,156,0.03577,0.03303
NGC5614,22.5,83,0.06242,0.04836
NGC5633,1.5,20,0.2893,0.0403
NGC5633,4.5,64,0.2189,0.03304
NGC5633,7.5,104,0.2,0.03081
NGC5633,10.5,148,0.1783,0.03487
NGC5633,13.5,189,0.1473,0.04739
NGC5633,16.5,224,0.08886,0.04849
NGC5633,19.5,211,0.04675,0.02538
NGC5633,22.5,156,0.03297,0.01758
NGC5657,1.5,9,0.4738,0.1033
NGC5657,4.5,32,0.2321,0.1598
NGC5657,7.5,42,0.1039,0.1122
NGC5657,10.5,33,0.06988,0.06628
NGC5657,13.5,21,0.05654,0.04079
NGC5657,16.5,14,0.04474,0.02658
NGC5657,19.5,10,0.02369,0.01035
NGC5657,22.5,5,0.01444,0.008144
NGC5784,1.5,18,0.03386,0.01322
NGC5784,4.5,51,0.05713,0.03563
NGC5784,7.5,82,0.06911,0.04314
NGC5784,10.5,100,0.03937,0.02625
NGC5784,13.5,73,0.02326,0.01516
NGC5784,16.5,42,0.01663,0.007302
NGC5784,19.5,22,0.01814,0.01017
NGC5784,22.5,7,0.01581,0.01343
NGC5908,1.5,6,0.5292,0.01121
NGC5908,4.5,19,0.5407,0.0202
NGC5908,7.5,32,0.5614,0.04012
NGC5908,10.5,44,0.612,0.1033
NGC5908,13.5,57,0.6398,0.1502
NGC5908,16.5,69,0.6179,0.1696
NGC5908,19.5,82,0.5134,0.1562
NGC5908,22.5,94,0.3992,0.1455
NGC5930,1.5,20,2.279,0.3938
NGC5930,4.5,59,0.95,0.4632
NGC5930,7.5,99,0.2227,0.1856
NGC5930,10.5,106,0.06676,0.05733
NGC5930,13.5,77,0.03197,0.0241
NGC5930,16.5,24,0.01806,0.01553
NGC5930,19.5,1,0.004472,0.002099
NGC5930,22.5,0,0.0,0.0
NGC5934,1.5,16,0.7955,0.07874
NGC5934,4.5,49,0.5535,0.1558
NGC5934,7.5,81,0.3022,0.1849
NGC5934,10.5,110,0.1324,0.134
NGC5934,13.5,108,0.07564,0.07824
NGC5934,16.5,89,0.04532,0.03873
NGC5934,19.5,65,0.01994,0.01486
NGC5934,22.5,28,0.01495,0.00724
NGC5947,1.5,0,0.0,0.0
NGC5947,4.5,8,0.008999,0.008945
NGC5947,7.5,53,0.01824,0.011
NGC5947,10.5,88,0.02718,0.01388
NGC5947,13.5,115,0.02494,0.01111
NGC5947,16.5,114,0.01575,0.007673
NGC5947,19.5,61,0.01295,0.005879
NGC5947,22.5,18,0.009603,0.004996
NGC5953,1.5,25,1.211,0.08676
NGC5953,4.5,76,0.9938,0.1307
NGC5953,7.5,128,0.5816,0.1714
NGC5953,10.5,175,0.1993,0.1157
NGC5953,13.5,160,0.04936,0.04287
NGC5953,16.5,57,0.02978,0.01741
NGC5953,19.5,37,0.03098,0.01813
NGC5953,22.5,27,0.0448,0.0188
NGC5980,1.5,11,0.6104,0.09609
NGC5980,4.5,34,0.3869,0.1148
NGC5980,7.5,57,0.2732,0.08723
NGC5980,10.5,79,0.2177,0.09775
NGC5980,13.5,103,0.172,0.08206
NGC5980,16.5,125,0.1377,0.06305
NGC5980,19.5,148,0.1025,0.05132
NGC5980,22.5,169,0.06849,0.03466
NGC6004,1.5,22,0.3056,0.08658
NGC6004,4.5,62,0.108,0.08334
NGC6004,7.5,89,0.0515,0.04646
NGC6004,10.5,144,0.04356,0.03534
NGC6004,13.5,203,0.05477,0.03547
NGC6004,16.5,247,0.05069,0.02737
NGC6004,19.5,210,0.03209,0.02054
NGC6004,22.5,129,0.02434,0.01234
NGC6060,1.5,11,0.233,0.01634
NGC6060,4.5,37,0.2498,0.03928
NGC6060,7.5,62,0.205,0.05165
NGC6060,10.5,85,0.122,0.05641
NGC6060,13.5,112,0.07329,0.05079
NGC6060,16.5,130,0.06221,0.03911
NGC6060,19.5,155,0.06369,0.03358
NGC6060,22.5,174,0.0645,0.02877
NGC6155,1.5,20,0.1529,0.01712
NGC6155,4.5,60,0.1243,0.02875
NGC6155,7.5,100,0.08808,0.02942
NGC6155,10.5,142,0.07612,0.02946
NGC6155,13.5,180,0.07214,0.02526
NGC6155,16.5,220,0.0555,0.02624
NGC6155,19.5,252,0.04232,0.02554
NGC6155,22.5,240,0.03336,0.02136
NGC6168,1.5,7,0.06735,0.01427
NGC6168,4.5,19,0.07748,0.0163
NGC6168,7.5,32,0.07178,0.02053
NGC6168,10.5,46,0.0677,0.02145
NGC6168,13.5,53,0.05037,0.02176
NGC6168,16.5,56,0.04886,0.02717
NGC6168,19.5,58,0.04651,0.0282
NGC6168,22.5,56,0.03589,0.02514
NGC6186,1.5,8,1.435,0.1736
NGC6186,4.5,27,0.9493,0.4162
NGC6186,7.5,45,0.5116,0.4564
NGC6186,10.5,46,0.3837,0.394
NGC6186,13.5,45,0.3001,0.2818
NGC6186,16.5,48,0.206,0.1805
NGC6186,19.5,51,0.1514,0.1122
NGC6186,22.5,55,0.1224,0.09815
NGC6301,1.5,13,0.04067,0.02003
NGC6301,4.5,33,0.04154,0.02597
NGC6301,7.5,61,0.0391,0.01751
NGC6301,10.5,107,0.04324,0.01806
NGC6301,13.5,133,0.0493,0.01855
NGC6301,16.5,161,0.04787,0.01953
NGC6301,19.5,186,0.04412,0.01958
NGC6301,22.5,198,0.03493,0.01616
NGC6314,1.5,16,0.4151,0.08098
NGC6314,4.5,44,0.2348,0.07481
NGC6314,7.5,74,0.09315,0.04017
NGC6314,10.5,90,0.03324,0.01921
NGC6314,13.5,68,0.01885,0.01061
NGC6314,16.5,46,0.02118,0.01276
NGC6314,19.5,34,0.01903,0.01203
NGC6314,22.5,14,0.01009,0.003903
NGC6361,1.5,7,1.606,0.08678
NGC6361,4.5,21,1.289,0.2606
NGC6361,7.5,36,0.908,0.3398
NGC6361,10.5,52,0.6518,0.3265
NGC6361,13.5,64,0.4859,0.304
NGC6361,16.5,82,0.3479,0.2904
NGC6361,19.5,89,0.2898,0.276
NGC6361,22.5,87,0.2764,0.2685
NGC6394,1.5,14,0.1736,0.02462
NGC6394,4.5,42,0.1086,0.03609
NGC6394,7.5,69,0.06811,0.03562
NGC6394,10.5,78,0.05203,0.03668
NGC6394,13.5,80,0.05696,0.05055
NGC6394,16.5,67,0.07254,0.06025
NGC6394,19.5,59,0.0708,0.05814
NGC6394,22.5,56,0.0437,0.03937
NGC6478,1.5,8,0.3613,0.0269
NGC6478,4.5,24,0.369,0.031
NGC6478,7.5,40,0.3003,0.07506
NGC6478,10.5,56,0.2525,0.0813
NGC6478,13.5,72,0.2443,0.07129
NGC6478,16.5,88,0.2176,0.06979
NGC6478,19.5,105,0.1776,0.06243
NGC6478,22.5,122,0.1264,0.05905
NGC7738,1.5,11,2.082,0.3596
NGC7738,4.5,35,1.091,0.4743
NGC7738,7.5,58,0.379,0.269
NGC7738,10.5,81,0.1059,0.09132
NGC7738,13.5,79,0.03888,0.02754
NGC7738,16.5,62,0.02531,0.02308
NGC7738,19.5,44,0.01975,0.01602
NGC7738,22.5,9,0.009552,0.003063
NGC7819,1.5,16,0.4201,0.07636
NGC7819,4.5,51,0.198,0.1116
NGC7819,7.5,62,0.09162,0.08462
NGC7819,10.5,59,0.05648,0.04818
NGC7819,13.5,48,0.03323,0.02321
NGC7819,16.5,26,0.02427,0.01586
NGC7819,19.5,15,0.02597,0.01243
NGC7819,22.5,13,0.02442,0.01161
UGC00809,1.5,0,0.0,0.0
UGC00809,4.5,0,0.0,0.0
UGC00809,7.5,0,0.0,0.0
UGC00809,10.5,0,0.0,0.0
UGC00809,13.5,0,0.0,0.0
UGC00809,16.5,0,0.0,0.0
UGC00809,19.5,0,0.0,0.0
UGC00809,22.5,0,0.0,0.0
UGC03253,1.5,14,0.1471,0.03273
UGC03253,4.5,41,0.07227,0.0522
UGC03253,7.5,44,0.04034,0.03531
UGC03253,10.5,39,0.02857,0.02003
UGC03253,13.5,34,0.02441,0.01484
UGC03253,16.5,27,0.01986,0.0134
UGC03253,19.5,18,0.01498,0.006423
UGC03253,22.5,14,0.01345,0.004727
UGC03539,1.5,8,0.382,0.03563
UGC03539,4.5,26,0.3074,0.06143
UGC03539,7.5,43,0.2228,0.08033
UGC03539,10.5,59,0.1547,0.09179
UGC03539,13.5,74,0.1039,0.09046
UGC03539,16.5,74,0.07747,0.07869
UGC03539,19.5,62,0.06436,0.05695
UGC03539,22.5,47,0.05231,0.03525
UGC03969,1.5,9,0.2245,0.02075
UGC03969,4.5,28,0.201,0.02245
UGC03969,7.5,48,0.1522,0.03112
UGC03969,10.5,67,0.1092,0.04803
UGC03969,13.5,85,0.07627,0.04334
UGC03969,16.5,100,0.04903,0.02971
UGC03969,19.5,98,0.0328,0.0209
UGC03969,22.5,81,0.02259,0.01525
UGC03973,1.5,22,0.119,0.04616
UGC03973,4.5,64,0.08175,0.04604
UGC03973,7.5,106,0.04845,0.0383
UGC03973,10.5,132,0.03625,0.02396
UGC03973,13.5,141,0.03009,0.01921
UGC03973,16.5,98,0.03567,0.02333
UGC03973,19.5,91,0.03512,0.02478
UGC03973,22.5,57,0.03709,0.02466
UGC04029,1.5,5,0.5756,0.08095
UGC04029,4.5,18,0.3591,0.1661
UGC04029,7.5,29,0.2071,0.1599
