# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5480,4.5,62,0.2094,0.04305
NGC5480,7.5,106,0.1484,0.03948
NGC5480,10.5,148,0.1123,0.03575
NGC5480,13.5,190,0.08908,0.03517
NGC5480,16.5,233,0.06846,0.03321
NGC5480,19.5,265,0.05367,0.02441
NGC5480,22.5,290,0.03935,0.01636
NGC5520,1.5,13,0.2332,0.01705
NGC5520,4.5,44,0.1997,0.02852
NGC5520,7.5,71,0.1461,0.03123
NGC5520,10.5,103,0.09163,0.02836
NGC5520,13.5,128,0.05128,0.02159
NGC5520,16.5,155,0.02933,0.01555
NGC5520,19.5,141,0.01526,0.009504
NGC5520,22.5,98,0.008033,0.007301
NGC5614,1.5,23,0.634,0.05537
NGC5614,4.5,68,0.4998,0.1016
NGC5614,7.5,115,0.3818,0.1311
NGC5614,10.5,157,0.2778,0.1317
NGC5614,13.5,206,0.1563,0.08942
NGC5614,16.5,252,0.06214,0.03654
NGC5614,19.5,264,0.02321,0.02685
NGC5614,22.5,146,0.02961,0.03498
NGC5633,1.5,20,0.2487,0.007224
NGC5633,4.5,64,0.2202,0.01319
NGC5633,7.5,104,0.1922,0.01473
NGC5633,10.5,149,0.1649,0.02165
NGC5633,13.5,189,0.126,0.03141
NGC5633,16.5,227,0.07769,0.03256
NGC5633,19.5,244,0.03839,0.0207
NGC5633,22.5,197,0.01964,0.01253
NGC5657,1.5,9,0.1344,0.01746
NGC5657,4.5,32,0.08918,0.03549
