# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5953,7.5,128,0.5363,0.1216
NGC5953,10.5,176,0.2334,0.09114
NGC5953,13.5,227,0.06524,0.04198
NGC5953,16.5,214,0.01594,0.01496
NGC5953,19.5,122,0.01293,0.01156
NGC5953,22.5,112,0.01769,0.01366
NGC5980,1.5,12,0.4099,0.02191
NGC5980,4.5,34,0.3333,0.04667
NGC5980,7.5,56,0.2618,0.05012
NGC5980,10.5,79,0.2099,0.05015
NGC5980,13.5,103,0.1652,0.05045
NGC5980,16.5,126,0.1328,0.04553
NGC5980,19.5,149,0.09805,0.03701
NGC5980,22.5,171,0.06793,0.02549
NGC6004,1.5,22,0.1855,0.02524
NGC6004,4.5,67,0.1091,0.0409
NGC6004,7.5,111,0.05316,0.03322
NGC6004,10.5,158,0.045,0.02593
NGC6004,13.5,201,0.04704,0.02409
NGC6004,16.5,249,0.04128,0.01959
NGC6004,19.5,285,0.02667,0.01437
NGC6004,22.5,268,0.01805,0.008047
NGC6060,1.5,11,0.2192,0.005748
NGC6060,4.5,37,0.203,0.01262
NGC6060,7.5,62,0.1639,0.02406
NGC6060,10.5,85,0.1135,0.03459
NGC6060,13.5,111,0.07727,0.03216
NGC6060,16.5,133,0.06264,0.02543
NGC6060,19.5,158,0.05904,0.02166
NGC6060,22.5,183,0.05642,0.01922
NGC6155,1.5,20,0.1223,0.006213
NGC6155,4.5,60,0.1077,0.01503
NGC6155,7.5,100,0.08598,0.01919
NGC6155,10.5,142,0.07262,0.02007
NGC6155,13.5,180,0.064,0.01608
NGC6155,16.5,220,0.05296,0.01605
NGC6155,19.5,261,0.03966,0.01712
NGC6155,22.5,297,0.02651,0.01569
NGC6168,1.5,6,0.0593,0.002338
NGC6168,4.5,19,0.06216,0.005184
NGC6168,7.5,32,0.06338,0.008457
NGC6168,10.5,46,0.06012,0.009726
NGC6168,13.5,60,0.0516,0.01399
NGC6168,16.5,72,0.04355,0.02046
NGC6168,19.5,76,0.03827,0.02086
NGC6168,22.5,80,0.03056,0.01807
NGC6186,1.5,8,1.0,0.08096
NGC6186,4.5,27,0.7461,0.2152
NGC6186,7.5,46,0.4521,0.2781
NGC6186,10.5,62,0.2695,0.2595
NGC6186,13.5,79,0.1827,0.2039
