# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: rdScaleMol, unit: kpc, datatype: float64, description: Exponential scale
#     length for CO disk derived by filling in undetected values in annulii with 1-sigma}
# - {name: rdeScaleMol, unit: kpc, datatype: float64, description: Statistical error
#     from fit to exponential scale length}
# - {name: rdScaleMolHi, unit: kpc, datatype: float64, description: Upper limit to exponential
#     scale length by filling in annuli with 2-sigma values}
# - {name: rdScaleMolLo, unit: kpc, datatype: float64, description: Lower limit to exponential
#     scale length by filling in annulii with zeros}
# - {name: rdNormMol, unit: solMass / pc2, datatype: float64, description: 'Normalization
#     of CO exponential disk profile, i.e. density at R=0'}
# - {name: rdeNormMol, unit: solMass / pc2, datatype: float64, description: Error in
#     normalization of CO exponential disk profile}
# - {name: rdScaleSt, unit: kpc, datatype: float64, description: Exponential scale length
#     for the mass of the stellar disk}
# - {name: rdeScaleSt, unit: kpc, datatype: float64, description: Formal error in stellar
#     scale length fit}
# - {name: rdNormSt, unit: solMass / pc2, datatype: float64, description: 'Normalization
#     of stellar exponential disk profile, i.e. density at R=0'}
# - {name: rdeNormSt, unit: solMass / pc2, datatype: float64, description: Formal error
#     in stellar disk normalization}
# - {name: rdR50Mol, unit: kpc, datatype: float64, description: Radius enclosing 50%
#     of the molecular mass}
# - {name: rdeR50Mol, unit: kpc, datatype: float64, description: 'Error in radius enclosing
#     50% of the molecular mass, including beam size'}
# - {name: rdR50St, unit: kpc, datatype: float64, description: Radius enclosing 50%
#     of the stellar mass}
# - {name: rdeR50St, unit: kpc, datatype: float64, description: 'Error in radius enclosing
#     50% of the stellar mass, including beam size'}
# - {name: rdScaleSFR, unit: kpc, datatype: float64, description: Exponential scale
#     length for SFR from extinction corrected Ha}
# - {name: rdeScaleSFR, unit: kpc, datatype: float64, description: Error in exponential
#     scale length for SFR from extinction corrected Ha}
# delimiter: ','
Name,rdScaleMol,rdeScaleMol,rdScaleMolHi,rdScaleMolLo,rdNormMol,rdeNormMol,rdScaleSt,rdeScaleSt,rdNormSt,rdeNormSt,rdR50Mol,rdeR50Mol,rdR50St,rdeR50St,rdScaleSFR,rdeScaleSFR
UGC03973,4.5,0.96,5.7,2.99,44.1,1.33,3.86,0.34,644.96,1.26,4.47,0.06,4.53,0.03,5.13,9.52
UGC04029,4.03,0.35,5.11,3.17,29.44,1.16,3.38,0.16,434.16,1.1,4.65,0.06,4.58,0.07,4.33,0.34
UGC04132,3.13,0.13,3.68,2.44,183.88,1.09,3.63,0.16,1491.57,1.08,4.86,0.06,5.48,0.05,4.42,0.49
UGC04280,nan,nan,nan,nan,nan,nan,1.63,0.04,1108.47,1.07,nan,nan,2.7,0.1,1.95,0.19
UGC04461,3.28,0.61,4.43,2.31,35.2,1.31,3.14,0.07,283.27,1.04,3.31,0.08,4.4,0.06,3.65,0.38
UGC05108,2.75,0.35,3.48,1.88,95.05,1.24,3.79,0.1,1043.8,1.08,3.41,0.09,5.62,0.04,2.72,0.28
UGC05111,4.19,0.39,4.91,3.36,98.35,1.2,3.41,0.17,1399.03,1.13,6.43,0.06,5.82,0.05,5.36,0.39
UGC05244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.82,0.12,nan,nan
UGC05359,9.21,1.14,12.12,6.56,11.41,1.16,4.24,0.06,453.84,1.05,8.47,0.05,6.64,0.04,8.08,3.49
UGC05498NED01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
UGC05598,2.68,0.06,3.46,2.03,31.44,1.03,3.09,0.21,352.7,1.17,2.99,0.11,5.12,0.06,4.59,0.51
UGC06312,nan,nan,nan,nan,nan,nan,3.31,0.04,1231.11,1.04,nan,nan,5.09,0.05,5.16,0.5
UGC07012,nan,nan,nan,nan,nan,nan,-0.89,0.67,3.36,11.74,nan,nan,1.88,0.17,2.41,0.81
UGC08107,3.61,0.12,4.07,3.05,142.27,1.09,6.23,0.23,736.05,1.09,5.22,0.05,8.78,0.03,7.77,0.46
UGC08250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.15,0.08,nan,nan
UGC08267,3.02,0.29,3.31,2.81,123.38,1.22,3.09,0.21,1169.58,1.22,4.27,0.08,5.78,0.06,3.29,0.41
UGC09067,3.15,0.4,4.02,2.22,126.34,1.31,2.97,0.05,1435.88,1.06,4.66,0.08,4.77,0.06,3.99,0.74
UGC09476,6.68,58.31,11.77,27.43,17.25,356.54,2.93,0.2,341.38,1.12,3.6,0.1,3.75,0.08,6.63,1.9
UGC09537,8.28,1.04,11.75,5.6,20.28,1.13,4.66,0.18,1049.74,1.14,7.6,0.05,7.95,0.01,6.38,13.38
UGC09542,5.44,0.49,7.74,3.27,19.52,1.09,3.45,0.1,402.54,1.07,4.91,0.07,5.21,0.05,5.96,1.05
UGC09665,2.38,0.18,3.27,1.62,40.82,1.14,2.19,11.05,339.29,322.5,3.12,0.11,2.81,0.12,2.5,0.36
UGC09759,nan,nan,nan,nan,nan,nan,1.66,0.21,809.86,1.43,nan,nan,2.92,0.11,2.68,1.46
UGC09873,2.86,0.37,3.82,1.94,22.73,1.23,3.69,0.14,157.3,1.06,2.88,0.1,5.03,0.06,2.97,0.27
UGC09892,5.72,1.87,8.04,3.94,13.76,1.34,2.9,0.12,417.67,1.09,5.06,0.07,4.65,0.06,4.78,0.61
UGC09919,nan,nan,nan,nan,nan,nan,2.41,0.24,141.54,1.2,nan,nan,2.54,0.14,2.04,0.32
UGC10043,nan,nan,nan,nan,nan,nan,-3.03,12.51,41.04,133.48,nan,nan,1.9,0.18,2.22,6.55
UGC10123,2.23,0.18,2.77,1.58,134.55,1.24,1.62,0.11,1980.26,1.27,3.24,0.1,2.82,0.09,2.19,0.2
UGC10205,2.94,0.53,3.89,2.21,82.6,1.38,3.12,0.09,1966.28,1.09,3.57,0.08,4.68,0.05,2.01,0.06
UGC10331,nan,nan,nan,nan,nan,nan,3.53,0.21,119.71,1.11,nan,nan,4.76,0.07,3.76,0.18
UGC10380,3.33,0.42,3.87,2.72,44.23,1.28,4.33,0.11,723.63,1.08,4.32,0.07,7.24,0.05,6.63,1.39
UGC10384,1.77,0.11,2.06,1.49,232.47,1.19,1.53,0.1,1682.89,1.2,2.93,0.12,2.7,0.1,1.84,0.16
UGC10710,4.39,0.16,5.33,3.42,67.24,1.06,5.15,0.42,389.63,1.19,5.38,0.06,6.75,0.03,4.62,0.55
