Name: standard EDGE-CALIFA galaxy name
rfVsys: CO relativistic helocentric vsys (km/s); see VsysFlag for how this was derived 
rfVsysFlag: how is Vsys derived; 0=CO kinematics; 1=Ha kinematics; 3=LEDA
rfRflat: the radius (arcsec) at which the rotation curve flattens from the Lelli+16 algorithm
rfVrotMax: the maximum CO rotation velocity (relativistic km/s) from the Lelli+2016 algorithm
rfeVrotMax: the error in rfVrotMax from the Lelli+2016 algorithm
rfVrotMaxFlag: 0 = either rfeVrotMax\rfVrotMax > 10% rfeVrotMax>rfVrotMax rfeVrotMax=0 so rfRflat rfVrotMax and rfeVrotMax values are unreliable; 1 = rfRflat rfVrotMax and rfeVrotMax value are reliable
rfPA: position angle (degrees) ranging from 0-365 degrees defined counterclockwise from North to approaching side of major axis; see PAFlag for how this was derived
rfPAFlag: this describes where the PA listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfInc: inclination (degrees); see IncFlag for how this was derived
rfIncFlag: this describes where the inclination listed is from; 0=CO kinematics; 1=Ha kinematics; 2=outer optical isophotes; 3=LEDA
rfKinXoff: offset of CO kinematic center from RA (arcsec); RA=RA-xoff
rfKinYoff: offset of CO kinematic center from Dec (arcsec); Dec=Dec-yoff

Name, rfVsys, rfVsysFlag, rfRflat, rfVrotMax, rfeVrotMax, rfVrotMaxFlag, rfPA, rfPAFlag, rfInc, rfIncFlag, rfKinXoff, rfKinYoff
UGC04029,4389.0,0,21.4,163.7,8.4,1,63.5,2,77.6,2,-1.90,1.00
UGC04132,5151.0,0,25.4,244.2,10.0,1,212.6,0,72.0,2,0.00,-0.80
UGC04280,3500.0,0,NaN,NaN,NaN,0,183.7,2,71.5,2,0.00,0.00
UGC04461,4941.0,0,10.6,129.3,8.4,1,222.8,0,70.1,2,0.00,0.00
UGC05108,8015.0,0,10.3,283.3,14.0,1,136.1,0,66.1,2,0.00,0.00
UGC05111,6660.0,0,22.2,224.1,9.6,1,118.3,0,72.9,2,2.00,-1.00
UGC05244,2974.0,1,NaN,NaN,NaN,0,32.8,2,77.9,2,0.00,0.00
UGC05359,8344.0,0,12.1,163.4,26.0,0,94.5,0,72.3,2,-0.90,0.80
UGC05498NED01,6250.0,1,NaN,NaN,NaN,0,61.8,0,81.0,0,0.00,0.00
UGC05598,5591.0,0,12.5,183.8,12.9,1,215.6,2,74.8,2,0.00,0.00
UGC06312,6266.0,1,NaN,NaN,NaN,0,224.6,0,68.7,2,0.00,0.00
UGC07012,3052.0,1,NaN,NaN,NaN,0,184.1,0,60.5,2,0.00,0.00
UGC08107,8201.0,0,13.9,315.3,15.7,1,228.2,0,71.4,2,0.00,0.00
UGC08250,5169.0,1,NaN,NaN,NaN,0,11.7,0,76.2,2,0.00,0.00
UGC08267,7159.0,0,13.7,210.8,10.6,1,223.0,0,75.4,2,-1.00,0.00
UGC09067,7740.0,0,12.8,211.7,10.9,1,14.6,0,62.4,2,0.00,0.00
UGC09476,3243.0,0,22.3,140.9,22.2,0,307.0,0,48.5,2,0.00,0.00
UGC09537,8662.0,0,13.0,283.8,16.6,1,135.7,0,72.0,0,0.00,0.00
UGC09542,5417.0,0,17.3,151.4,8.8,1,214.3,2,72.7,2,2.10,-1.90
UGC09665,2561.0,0,17.4,122.3,7.3,1,138.2,2,74.0,2,-0.10,1.00
UGC09759,3394.0,0,NaN,NaN,NaN,0,49.7,2,66.8,2,3.60,-2.10
UGC09873,5575.0,0,NaN,NaN,NaN,0,129.0,0,75.3,2,0.00,0.00
UGC09892,5591.0,0,13.4,135.3,11.7,1,101.0,2,72.2,2,0.00,0.00
UGC09919,3160.0,0,NaN,NaN,NaN,0,349.2,2,77.9,2,0.00,0.00
UGC10043,2154.0,0,NaN,NaN,NaN,0,327.8,0,90.0,3,-2.00,-1.00
UGC10123,3738.0,0,15.5,207.9,9.4,1,231.6,0,70.0,0,-1.90,-2.00
UGC10205,6491.0,0,9.7,237.8,14.9,1,128.6,0,51.7,2,0.00,0.00
UGC10331,4415.0,1,NaN,NaN,NaN,0,140.8,2,76.2,2,0.00,0.00
UGC10380,8624.0,0,NaN,NaN,NaN,0,288.2,2,77.9,2,0.00,0.00
UGC10384,4927.0,0,14.9,187.4,8.9,1,275.8,0,70.0,0,0.00,0.00
UGC10710,8228.0,0,NaN,NaN,NaN,0,329.5,3,69.6,2,0.00,0.00
