# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: W1, unit: mag, datatype: float64, description: 3.4 um Vega magnitude from
#     image photometry from table by Bitsakis. NGC0598 and NGC4676A are from w1mpro
#     in allWISE catalog}
# - {name: eW1, unit: mag, datatype: float64, description: Error in W1 in Vega magnitudes
#     from table by Bitsakis. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in
#     allWISE catalog}
# - {name: W2, unit: mag, datatype: float64, description: 4.6 um Vega magnitude from
#     Bitsakis}
# - {name: eW2, unit: mag, datatype: float64, description: Error in W2 in Vega magnitudes
#     from Bitsakis}
# - {name: W3, unit: mag, datatype: float64, description: 12 um Vega magnitude from
#     Bitsakis}
# - {name: eW3, unit: mag, datatype: float64, description: Error in W3 in Vega magnitudes
#     from Bitsakis}
# - {name: W4, unit: mag, datatype: float64, description: 22 um Vega magnitude from
#     Bitsakis}
# - {name: eW4, unit: mag, datatype: float64, description: Error in W4 in Vega magnitudes
#     from Bitsakis}
# - {name: W1lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W1 from caDistMpc and W1 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W2lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W2 from caDistMpc and W2 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W3lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W3 from caDistMpc and W3 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W4lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W4 from caDistMpc and W4 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W4SFR, unit: solMass / yr, datatype: float64, description: SFR from W4lum
#     using Catalan-Torrecilla+14 calibration}
# delimiter: ','
Name,W1,eW1,W2,eW2,W3,eW3,W4,eW4,W1lum,W2lum,W3lum,W4lum,W4SFR
NGC5908,7.995,14.263,7.861,13.699,4.827,11.393,3.156,8.092,43.6657,43.326,43.4229,43.2149,3.44407
NGC5930,8.64,14.584,8.514,14.025,4.975,11.468,1.971,7.5,43.2028,42.86,43.1589,43.484,6.40083
NGC5934,9.691,15.108,9.631,14.581,6.634,12.295,4.89,8.959,43.4757,43.1065,43.1886,43.0097,2.14742
NGC5947,10.397,15.461,10.261,14.897,7.196,12.573,5.337,9.181,43.2279,42.8891,42.9983,42.8655,1.54058
NGC5953,8.954,14.743,8.788,14.164,4.844,11.403,2.673,7.851,42.8429,42.5161,42.977,42.9689,1.9548
NGC5980,9.16,14.845,9.008,14.272,5.34,11.65,3.457,8.242,43.3999,43.0675,43.418,43.2947,4.13925
NGC6004,10.074,15.281,10.066,14.783,7.027,12.463,5.303,9.158,42.9713,42.5813,42.6802,42.4933,0.653966
NGC6021,9.711,15.118,9.723,14.626,8.531,13.145,7.495,10.211,43.3112,42.9132,42.2733,41.8112,0.135968
NGC6027,10.659,15.583,10.638,15.082,8.416,13.183,6.594,9.809,42.8502,42.4654,42.2374,42.0898,0.258213
NGC6060,9.067,14.799,8.979,14.257,5.695,11.808,3.995,8.51,43.4922,43.1341,43.331,43.1346,2.86268
NGC6063,10.26,15.389,10.282,14.896,7.264,12.563,5.745,9.373,42.6322,42.2302,42.3206,42.0518,0.236585
NGC6081,9.594,15.06,9.615,14.57,7.965,12.862,6.261,9.629,43.4125,43.0109,42.5542,42.3593,0.480342
NGC6125,8.83,14.678,8.876,14.205,8.245,13.052,7.234,10.12,43.6502,43.2385,42.3742,41.9022,0.167639
NGC6146,9.298,14.913,9.306,14.42,8.518,13.166,7.143,10.066,44.0171,43.6207,42.8192,42.4927,0.653064
NGC6155,9.664,15.098,9.55,14.544,5.867,11.916,4.111,8.57,42.7295,42.3818,42.7383,42.5643,0.76997
NGC6168,10.282,15.398,10.124,14.819,6.519,12.23,4.501,8.762,42.519,42.189,42.5143,42.445,0.585094
NGC6186,9.357,14.942,9.273,14.403,5.845,11.902,3.793,8.41,43.0284,42.6688,42.9233,42.8676,1.54816
NGC6301,9.791,15.157,9.763,14.647,6.76,12.348,5.239,9.129,43.7687,43.3867,43.4712,43.2031,3.3523
NGC6310,9.725,15.125,9.715,14.622,7.527,12.731,6.102,9.563,43.0018,42.6126,42.3711,42.0646,0.24369
NGC6314,9.581,15.052,9.505,14.516,7.032,12.462,5.603,9.308,43.6479,43.2851,43.1576,42.8527,1.49588
NGC6361,8.815,14.673,8.637,14.086,5.02,11.492,3.274,8.151,43.4694,43.1474,43.4775,43.2994,4.18448
NGC6394,10.543,15.532,10.345,14.939,7.061,12.505,4.823,8.925,43.4886,43.1746,43.3714,43.3902,5.1569
NGC6478,9.451,14.988,9.349,14.441,5.879,11.92,4.278,8.652,43.7134,43.3609,43.6322,43.3962,5.2284
NGC7738,9.572,15.05,9.407,14.469,5.917,11.912,3.247,8.137,43.6691,43.3419,43.6211,43.8127,13.6421
NGC7819,10.61,15.566,10.484,15.002,6.848,12.395,4.773,8.899,42.9831,42.6403,42.9779,42.9315,1.79341
UGC00809,11.259,15.891,11.105,15.313,7.763,12.847,5.953,9.488,42.576,42.2444,42.4644,42.312,0.430718
UGC03253,9.898,15.206,9.885,14.703,7.078,12.501,5.245,9.133,43.1062,42.7182,42.7243,42.581,0.800258
UGC03539,10.291,15.409,10.13,14.832,6.675,12.312,4.969,8.998,42.747,42.4182,42.6835,42.4894,0.648091
UGC03969,10.7,15.612,10.518,15.023,7.117,12.522,5.508,9.265,43.3837,43.0632,43.3069,43.0741,2.49042
UGC03973,8.812,14.668,7.94,13.738,4.967,11.458,2.588,7.807,43.9561,43.9117,43.9842,44.0593,24.0732
UGC04029,10.09,15.308,9.949,14.735,6.589,12.246,4.5,8.759,43.0865,42.7496,42.9769,42.9361,1.81248
UGC04132,9.303,14.914,9.162,14.343,5.324,11.636,3.552,8.289,43.55,43.2131,43.6316,43.4639,6.11173
UGC04280,10.369,15.447,10.25,14.885,7.344,12.621,5.361,9.189,42.7823,42.4367,42.4824,42.3991,0.526392
UGC04461,10.657,15.59,10.423,14.974,6.88,12.4,4.933,8.978,42.9721,42.6725,42.973,42.8753,1.57585
UGC05108,10.364,15.446,10.267,14.9,7.15,12.541,4.774,8.899,43.5182,43.1637,43.2938,43.3677,4.89742
UGC05111,10.049,15.288,9.965,14.748,6.648,12.293,5.081,9.052,43.4813,43.1217,43.3318,43.0821,2.53724
UGC05244,11.672,16.093,11.579,15.542,8.551,13.197,6.961,9.977,42.1289,41.7729,41.8674,41.6269,0.0889418
UGC05359,11.034,15.779,10.902,15.208,7.898,12.883,6.185,9.596,43.2846,42.9442,43.0291,42.8378,1.44552
UGC05498NED01,10.233,15.38,10.033,14.782,7.611,12.748,6.049,9.525,43.349,43.0358,42.8879,42.6362,0.908713
UGC05598,10.957,15.741,10.87,15.197,7.373,12.639,5.728,9.373,42.9526,42.5942,42.8763,42.6578,0.955098
