Name,ledaRA,ledaDE, rfVsys, rfVsysFlag, rfLSRK2helio,rfRflat, rfVrotMaxL, rfeVrotMaxL, rfVrotMaxLFlag,rfVrotMax, rfeVrotMax,rfPA, rfPAFlag, rfInc, rfIncFlag,rfKinXoff, rfKinYoff, rfKinRA, rfKinDecl
NGC5633,14.4578696,46.1464283,2319,0,2.64,15.4,191.2,10,1,187.5,9.4,16.9,2,41.9,2,0,0,14.4578696,46.1464283
NGC5657,14.5121164,29.1807417,3860,0,0.05,NaN,NaN,NaN,0,NaN,NaN,349,0,68.3,2,2.1,0.2,14.51215529,29.18079726
NGC5682,14.5792,48.6695333,2242,1,2.99,NaN,NaN,NaN,0,NaN,NaN,310.6,0,76.3,2,-0.9,1.7,14.57918333,48.67000552
NGC5732,14.677497,38.6376846,3723,0,1.47,10.6,123.8,10.4,1,125.8,0,43.2,2,58.4,2,-2,-0.2,14.67745996,38.63762904
NGC5784,14.9045708,42.5578294,5427,0,2.02,5.1,361.4,28.9,1,NaN,NaN,255,0,45,0,-2.1,0.6,14.90453191,42.55799607
NGC5876,15.1587731,54.5064571,3240,1,3.74,NaN,NaN,NaN,0,NaN,NaN,51.4,2,65.9,2,-0.1,0.6,15.15877125,54.50662377
NGC5908,15.2786667,55.4094444,3294,0,3.85,39.4,321.7,16.1,1,319.1,31.9,153,0,77,0,-1.5,-2,15.27863892,55.40888884
NGC5930,15.4355356,41.6760568,2637,0,1.79,9,240,15.1,1,231.9,0,155,0,45,0,2.2,0.1,15.43557634,41.67608458
NGC5934,15.4702122,42.9299311,5566,0,1.98,8.6,297,14.1,1,NaN,NaN,5,0,55,0,0,0,15.4702122,42.9299311
NGC5947,15.5101637,42.7171566,5898,0,1.94,3.3,162.8,42.7,0,173,65.4,248.6,0,32.2,2,-0.9,0.1,15.51014703,42.71718438
NGC5953,15.5756667,15.1938056,1988,0,-2.34,5,197.1,16.2,1,192.3,0,48.3,0,26,0,-1,0.4,15.57564818,15.19391671
NGC5980,15.6917764,15.7875833,4060,0,-2.28,17.1,215.2,10.3,1,216.3,4.4,15,3,66.2,2,-1,1,15.69175788,15.78786108
NGC6004,15.8396432,18.9392178,3818,0,-1.83,12.2,154.1,12.6,1,155,6.9,272.3,0,37.3,2,3.2,1.1,15.83970246,18.93952336
NGC6021,15.9585286,15.9559927,4673,1,-2.31,NaN,NaN,NaN,0,NaN,NaN,157.1,2,43.4,2,1.7,-0.1,15.95856008,15.95596492
NGC6027,15.9868219,20.7633378,4338,1,-1.58,NaN,NaN,NaN,0,NaN,NaN,231.4,2,30.9,2,0,0,15.9868219,20.7633378
NGC6060,16.0977727,21.4849432,4416,0,-1.49,30.1,232.8,10.1,1,205.2,21.1,102,2,64.3,2,-1.2,-0.2,16.09775048,21.48488764
NGC6063,16.1202737,7.9788715,2807,1,-3.54,NaN,NaN,NaN,0,NaN,NaN,331.6,0,56.2,2,0,0,16.1202737,7.9788715
NGC6081,16.2157986,9.8670278,4978,1,-3.29,NaN,NaN,NaN,0,NaN,NaN,308.2,2,65.6,2,0,0,16.2157986,9.8670278
NGC6125,16.319875,57.9841111,4522,1,4.07,NaN,NaN,NaN,0,NaN,NaN,4.8,2,16.9,2,0,0,16.319875,57.9841111
NGC6146,16.4195427,40.8926136,8693,1,1.49,NaN,NaN,NaN,0,NaN,NaN,78.3,0,40.7,2,0,0,16.4195427,40.8926136
NGC6155,16.4356446,48.3667803,2418,0,2.64,12,117.3,7.5,1,121.4,0,130,0,44.7,2,3,3,16.43570016,48.36761363
NGC6168,16.5224735,20.185524,2540,0,-1.79,24.2,140.4,20,0,67.5,55.7,111.1,3,76.6,2,0,0,16.5224735,20.185524
NGC6186,16.5737549,21.5408872,2940,0,-1.59,14.1,91.4,9,1,91.4,6.8,64.6,0,71.2,3,-3,0.5,16.57369934,21.54102609
NGC6301,17.142428,42.3390125,8222,0,1.59,15.5,238.2,12,1,234.1,13.5,288.5,2,52.8,2,0,0,17.142428,42.3390125
NGC6310,17.132624,60.9901158,3459,0,4.4,NaN,NaN,NaN,0,NaN,NaN,69.9,2,73.7,2,0,0,17.132624,60.9901158
NGC6314,17.2107596,23.2701805,6551,0,-1.46,5.9,250.9,17.1,1,NaN,NaN,356,0,57.7,2,-2.2,0,17.21071886,23.2701805
NGC6361,17.3114225,60.608118,3791,0,4.32,29.8,234.4,11.3,1,208.7,23,46.8,0,75,0,0,0,17.3114225,60.608118
NGC6394,17.5059501,59.63988,8453,0,4.16,13.2,267.5,12.4,1,267.5,22.3,237.4,0,60,0,0,0,17.5059501,59.63988
NGC6478,17.81065,51.1572222,6756,0,2.86,11.8,187,9.8,1,209.6,0,29.2,0,73.4,0,0,0,17.81065,51.1572222
NGC7738,23.7339015,0.5167067,6682,0,-6.38,9.6,142.6,12.8,1,139.9,0,234.7,0,65.6,2,0,0,23.7339015,0.5167067
NGC7819,0.0734708,31.4719861,4918,3,3.48,9.5,85,13.5,0,38,0,270.3,0,54,2,0,0,0.0734708,31.4719861
UGC00809,1.2644064,33.8107296,4171,0,3.51,14.5,135.9,10.3,1,135.9,6.1,18.6,0,78.9,2,0,0,1.2644064,33.8107296
UGC03253,5.3282278,84.0525278,4040,1,7.5,NaN,NaN,NaN,0,NaN,NaN,267.7,2,58.3,2,0,0,5.3282278,84.0525278
UGC03539,6.8149766,66.2612763,3278,0,6.14,11.8,138.9,8.1,1,144.8,0,302.9,0,72.1,2,-0.1,0.5,6.814974748,66.26141519
UGC03969,7.6873094,27.6140557,8029,0,1.3,11.1,206.1,10.2,1,216.9,0,134.3,2,70,0,0,0,7.6873094,27.6140557
UGC03973,7.7090448,49.8098112,6594,0,4.25,18.1,60.5,31.5,0,123,106.4,143.8,0,39.1,2,0.5,-1.8,7.709054059,49.8093112
UGC04029,7.8052774,34.3322151,4389,0,2.21,21.4,163.7,8.4,1,161,12.2,63.5,2,77.6,2,-1.9,1,7.805242215,34.33249288
UGC04132,7.9869451,32.9149333,5151,0,1.98,25.4,244.2,10,1,238.5,11.4,212.6,0,72,2,0,-0.8,7.9869451,32.91471108
UGC04280,8.2425945,54.7994926,3500,0,4.76,NaN,NaN,NaN,0,NaN,NaN,183.7,2,71.5,2,0,0,8.2425945,54.7994926
UGC04461,8.556295,52.5322939,4941,0,4.44,10.6,129.3,8.4,1,131.9,0,222.8,0,70.1,2,0,0,8.556295,52.5322939
UGC05108,9.5906396,29.8126427,8015,0,1.2,10.3,283.3,14,1,286.3,0,136.1,0,66.1,2,0,0,9.5906396,29.8126427
UGC05111,9.6145658,66.7883587,6660,0,5.91,22.2,224.1,9.6,1,216.2,11.9,118.3,0,72.9,2,2,-1,9.614602837,66.78808092
UGC05244,9.8133798,64.1679872,2974,1,5.62,NaN,NaN,NaN,0,NaN,NaN,32.8,2,77.9,2,0,0,9.8133798,64.1679872
UGC05359,9.9810194,19.2149958,8344,0,-0.43,12.1,163.4,26,0,163.4,29.9,94.5,0,72.3,2,-0.9,0.8,9.981002733,19.21521802
UGC05498NED01,10.20101667,23.085447,6250,1,0.08,NaN,NaN,NaN,0,NaN,NaN,61.8,0,81,0,0,0,10.20101667,23.085447
UGC05598,10.3705585,20.5893918,5591,0,-0.32,12.5,183.8,12.9,1,183.8,2.8,215.6,2,74.8,2,0,0,10.3705585,20.5893918
UGC06312,11.300048,7.8446625,6266,1,-2.39,NaN,NaN,NaN,0,NaN,NaN,224.6,0,68.7,2,0,0,11.300048,7.8446625
UGC07012,12.0342058,29.8480725,3052,1,0.68,NaN,NaN,NaN,0,NaN,NaN,184.1,0,60.5,2,0,0,12.0342058,29.8480725
UGC08107,12.994371,53.3413312,8201,0,3.89,13.9,315.3,15.7,1,312.3,9.2,228.2,0,71.4,2,0,0,12.994371,53.3413312
UGC08250,13.1722518,32.482623,5169,1,0.83,NaN,NaN,NaN,0,NaN,NaN,11.7,0,76.2,2,0,0,13.1722518,32.482623
UGC08267,13.1864695,43.7264591,7159,0,2.5,13.7,210.8,10.6,1,210.8,5.4,223,0,75.4,2,-1,0,13.18645098,43.7264591
UGC09067,14.179299,15.2092462,7740,0,-2.01,12.8,211.7,10.9,1,211.7,4.2,14.6,0,62.4,2,0,0,14.179299,15.2092462
UGC09476,14.6922202,44.5127452,3243,0,2.35,22.3,140.9,22.2,0,126.4,15.7,307,0,48.5,2,0,0,14.6922202,44.5127452
UGC09537,14.8074332,34.9980494,8662,0,0.89,13,283.8,16.6,1,283.7,3.1,135.7,0,72,0,0,0,14.8074332,34.9980494
UGC09542,14.8170012,42.4639798,5417,0,2.03,17.3,151.4,8.8,1,144.7,13.7,214.3,2,72.7,2,2.1,-1.9,14.81704009,42.46345202
UGC09665,15.0256821,48.3198291,2561,0,2.86,17.4,122.3,7.3,1,115.9,11.8,138.2,2,74,2,-0.1,1,15.02568025,48.32010688
