# (1) Name
# (2) QC_flag  0:OK;1:BAD;2:WARNING
# (3) Reason   0:OK,1:partially covered/too large,2:bad quality,3:not good quality,4:too small,5:repeated, 6:Crowded with field stars, 7:Bright single field star, 8:Scale factor is clearly wrong, 9:Wrong convolucion, 10:Integrated and resolved masses do not match, 11:pyPipe3D fitting issues
# (4) multiple 0:single,1:multiple
NGC2592,0,0,0
NGC2595,0,0,0
NGC2596,1,2,0
NGC2604,2,8,0
NGC2623,0,0,0
NGC2638,2,3,0
NGC2639,0,0,0
NGC2691,0,0,0
NGC2730,0,0,0
NGC2748-1,1,5,0
NGC2748-2,1,1,0
NGC2748,2,1,0
NGC2765,0,0,0
NGC2767,0,0,0
NGC2771,0,0,0
NGC2780,0,0,0
NGC2787,2,3,0
NGC2793,0,0,0
NGC2805,0,0,0
NGC2841,1,1,0
NGC2880,2,3,0
NGC2906,0,0,0
NGC2916,0,0,0
NGC2918,0,0,0
NGC2926,0,0,0
NGC3021E,1,1,0
NGC3021,2,7,0
NGC3021W,1,1,0
NGC3057,0,0,0
NGC3106,0,0,0
NGC3158,0,0,0
NGC3160,0,0,0
NGC3182,0,0,0
NGC3220,0,0,0
NGC3227f1,1,2,0
NGC3227f2,1,2,0
NGC3227f3,1,2,0
NGC3300,2,3,0
NGC3303,0,0,0
NGC3323,1,5,0
NGC3353short,0,0,0
NGC3353,1,0,5
NGC3370N,1,2,0
NGC3370S,1,2,0
NGC3381,0,0,0
NGC3395,0,0,0
NGC3396,0,0,0
NGC3406NED01,0,0,0
NGC3447,1,2,0
NGC3451,2,11,0
NGC3499,0,0,0
NGC3600,0,0,0
NGC3605,0,0,0
NGC3610,0,0,0
NGC3614,0,0,0
NGC3615,0,0,0
NGC3619,0,0,0
NGC3687,0,0,0
NGC3773,2,7,0
NGC3811,0,0,0
NGC3815,1,1,0
NGC3842,2,3,0
NGC3847,0,0,0
NGC3893,2,10,0
NGC3896,2,7,0
NGC3905,0,0,0
NGC3913,0,0,0
NGC3945,0,0,0
NGC3972,0,0,0
NGC3972W,1,2,0
NGC3990,0,0,0
NGC3991,0,0,0
NGC3994,0,0,0
NGC4003,0,0,0
NGC4037,0,0,0
NGC4047,0,0,0
NGC4149,0,0,0
NGC4185,2,7,0
NGC4210,0,0,0
NGC4211NED01,1,2,0
NGC4211NED02,0,0,1
NGC4291,0,0,0
NGC4384,2,3,0
NGC4388f1,1,1,0
NGC4388f2,1,1,0
NGC4390,0,0,0
NGC4415,0,0,0
NGC4431,0,0,0
NGC4470,0,0,0
NGC4479,0,0,0
NGC4486-2,1,1,0
NGC4486-3,1,1,0
NGC4486-4,1,1,0
NGC4486-5,1,1,0
NGC4486-6,1,1,0
NGC4486-7,1,1,0
NGC4486B,0,0,0
NGC4536SN,1,2,0
NGC4630,0,0,0
NGC4639HO,1,2,0
NGC4639SN,1,2,0
NGC4644,0,0,0
NGC4676A,0,0,0
NGC4676B,0,0,0
NGC4711,1,3,0
NGC4736,1,1,0
NGC4816,2,7,0
NGC4841A,2,8,1
NGC4861a,1,1,0
NGC4861b,1,1,0
NGC4866,0,0,0
NGC4874,2,3,0
NGC4956,0,0,0
NGC4961,0,0,0
NGC5000,0,0,0
NGC5016,2,3,0
NGC5029,0,0,0
NGC5056,0,0,0
NGC5145,0,0,0
NGC5157,0,0,0
NGC5198,0,0,0
NGC5205,0,0,0
NGC5216,0,0,0
NGC5218,0,0,0
NGC5267,0,0,0
NGC5289,0,0,0
NGC5320,0,0,0
NGC5338,0,0,0
NGC5339,2,3,0
NGC5358,0,0,0
NGC5376,0,0,0
NGC5378,0,0,0
NGC5379,0,0,0
NGC5394,2,7,0
NGC5395,0,0,0
NGC5402,2,7,0
NGC5406,0,0,0
NGC5410,0,0,0
NGC5421NED02,2,7,0
NGC5423,2,7,0
NGC5425,0,0,0
NGC5426,0,0,0
NGC5427,0,0,0
NGC5434B,0,0,0
NGC5439,0,0,0
NGC5443,2,7,0
NGC5468,0,0,0
NGC5473,2,7,0
NGC5475,0,0,0
NGC5480,0,0,0
NGC5481,0,0,0
NGC5485,0,0,0
