Name,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
UGC09542,5386.6,3.32,7,4.49,3.29,8.4,52.7,324,6.15,2.59E+03,04/03/15 04:55:39 CDT
UGC09665,2535.6,3.35,7,4.13,3.46,9.5,61,636,10.43,6.08E+03,04/03/15 05:00:00 CDT
UGC09759,3408.4,3.31,7,4.60,3.43,8.6,50.1,721,14.37,4.96E+03,04/03/15 05:04:49 CDT
UGC09873,5528.4,3.31,7,4.38,3.42,7.5,46.1,294,6.38,9.03E+02,04/03/15 05:08:55 CDT
UGC09892,5569.7,3.01,7,4.44,3.79,7.2,39.3,228,5.81,1.32E+03,04/03/15 05:12:54 CDT
UGC09919,3151.3,4,7,4.59,4.06,9.6,47.3,249,5.27,1.22E+03,04/03/15 05:17:17 CDT
UGC10043,2153.2,3.95,7,4.50,3.72,10.4,57.3,607,10.59,6.93E+03,04/03/15 05:22:15 CDT
UGC10123,3720,3.35,7,4.06,3.56,8,51,653,12.79,9.61E+03,04/03/15 05:27:39 CDT
UGC10205,6432.9,2.3,7,5.07,3.83,8,37.7,230,6.11,1.89E+03,04/05/15 18:12:49 CDT
UGC10331,4485.4,2.35,7,5.86,3.40,15.2,70.5,293,4.16,1.02E+03,04/03/15 05:34:58 CDT
UGC10380,8510.7,3.35,7,4.54,4.04,8.2,41.1,274,6.68,1.15E+03,04/03/15 05:39:00 CDT
UGC10384,4869,3.32,7,4.82,3.62,7.9,41.8,648,15.51,6.14E+03,04/03/15 05:43:50 CDT
UGC10710,8153.9,3.35,7,4.58,3.58,8.7,48.6,278,5.72,1.53E+03,04/03/15 05:47:39 CDT
