CALIFA_name,RA,DEC,Distance,zstar,SNR,PA,Final_QS,Final_NA,SFR,Mstar,Det_4sig?
NGC0309,14.177499999999998,-9.913888888888888,79.63304569442408,0.0188595346328029,13.083757720187956,226.111609277659,QnR,nonA,4.2870619458218355,101830753748.86226,Y
NGC0426,18.202499999999997,-0.290166666666667,73.73001472584006,0.0174615168121896,6.663719917832768,234.935841914109,nR,nonA,0.45064898262824216,111530432197.93346,Y
NGC0570,22.2441666666667,-0.9490000000000001,77.78834782600478,0.0184226539002737,7.046124333712317,217.493617350508,nR,nonA,0.22614190767056316,91694989031.87636,Y
NGC0675,27.285833333333294,13.059805555555599,74.02625543889192,0.0175316756506307,5.6832093499434615,190.425018721219,nR,nonA,0.15799297555152855,40520461052.74361,Y
NGC0681,27.295,-10.426499999999999,24.009441624340703,0.0056861682468616,13.895144431169712,172.456018150504,MX,wAGN,0.40947368713164106,18703576132.221848,Y
NGC0787,30.202500000000004,-9.00258333333333,66.81732563032983,0.0158243811448833,7.70330235193275,175.627714456369,MX,nonA,0.44436799628700857,98065563009.59929,Y
NGC0833,32.3366666666667,-10.1330833333333,53.61836936384161,0.0126984656326236,9.464874633511618,177.321694010423,MX,nonA,0.15395406278645118,73738374718.35405,Y
NGC0835,32.35249999999999,-10.1358888888889,56.1010389741187,0.0132864375366055,24.20871295792403,94.0499318856405,MX,U,7.201081408189696,132116046175.3168,Y
NGC0932,36.9779166666667,20.3325277777778,57.30359122521644,0.0135712385966373,4.085240961910936,138.991631085807,nR,nonA,0.28188970834431254,115535642592.61363,Y
NGC0976,38.499583333333305,20.976694444444398,58.63329890149971,0.0138861539405587,43.860003882813885,253.178811019281,cQ,nonA,3.874209399729475,85482445098.65172,Y
NGC0991,38.885833333333295,-7.15438888888889,20.884074116962683,0.00494598587368182,6.5114338953061335,170.244957332469,cQ,nonA,0.173280983633891,2617435447.4036193,Y
NGC1070,40.8425,4.96827777777778,57.06591215973859,0.0135149489429165,12.364464079387433,92.8377097237197,QnR,wAGN,2.45709455259714,133308545088.20515,Y
NGC1094,41.8658333333333,-0.285083333333333,90.31635820244652,0.0213896689568278,8.201665029635718,179.225168788689,cQ,nonA,5.204311663549158,101537758995.647,Y
NGC2565,124.95125,22.0313888888889,49.216174454849266,0.0116558915778138,4.391452194321779,254.104869256137,cQ,nonA,0.36308096425512687,46936448126.42637,Y
NGC3227f2,155.87749999999997,19.8651666666667,15.632874374137955,0.00370234157312855,168.5226391833509,241.850841210644,MX,sAGN,0.036440718026626746,10387710077.418179,Y
NGC4390,186.460833333333,10.4588611111111,14.674899590870673,0.00347546391894828,5.2090685072064735,192.331188831043,cQ,nonA,0.12803446850596847,1142885957.8565712,Y
NGC5338,208.360416666667,5.207749999999999,10.309572709622497,0.002441621337863,13.843403118521117,188.530180002488,nR,nonA,0.009450866624821334,611264663.2184117,Y
NGC5339,208.50083333333296,-7.93066666666667,37.8665856916766,0.00896796271008605,15.070781943317177,167.471597586453,QnR,nonA,0.6074071141348019,23025863157.320934,Y
NGC5635,217.132083333333,27.409,60.46527907625046,0.014320022735241,4.788519390405764,152.795018432394,MX,sAGN,0.8970376566513893,117130232701.12186,Y
NGC5735,220.638333333333,28.7264722222222,52.61017530921556,0.0124596945229166,8.06877267633152,234.488086909875,QnR,sAGN,1.0472965119094555,31375908315.226048,Y
NGC5957,233.84666666666698,12.0475833333333,25.267270790428057,0.00598406056672844,10.770317556787159,177.872026438589,QnR,wAGN,0.251959592005287,11089757322.169037,Y
NGC6261,254.12708333333296,27.9776944444444,146.92751081139684,0.0347969169644994,4.018684295115141,172.463801455173,MX,nonA,0.31343660581810895,76472478377.50398,Y
