# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVsys, unit: km / s, datatype: float64, description: LSR Radio Velocity}
# - {name: coDobstim, unit: h, datatype: float64, description: D array observing time}
# - {name: coNpt, datatype: int64, description: No. of CARMA pointings}
# - {name: coDbmaj, unit: arcsec, datatype: float64, description: Native D-array beam major axis}
# - {name: coDbmin, unit: arcsec, datatype: float64, description: Native D-array beam minor axis}
# - {name: coRMS_mJybm, unit: mJy / beam, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coRMS_mK, unit: mK, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coTpk_mK, unit: mK, datatype: int64, description: Peak brightness in 20 km/s channel}
# - {name: coSNRpeak, datatype: float64, description: Peak brightness in SNR units}
# - {name: ImagingDate, datatype: string, description: Date of imaging}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-01'}
# schema: astropy-2.0
Name,coVsys,coDobstim,coNpt,coDbmaj,coDbmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,ImagingDate
ARP220,5340.9,3.34,7,4.19,3.64,6.1,36.7,3820,104.2,04/03/15 06:01:12 CDT
IC0480,4492.9,3.32,7,4.61,3.69,8.3,45.2,840,18.58,04/02/15 20:12:49 CDT
IC0540,2056.6,3.0,7,6.12,3.42,12.6,55.4,357,6.43,04/02/15 20:16:53 CDT
IC0944,6843.0,3.33,7,5.18,3.71,8.0,38.1,284,7.47,04/02/15 20:22:02 CDT
IC1151,2159.9,2.32,7,5.05,3.4,13.0,69.6,322,4.62,04/02/15 20:26:01 CDT
IC1199,4663.0,3.31,7,4.74,3.96,8.4,41.3,270,6.54,04/02/15 20:30:17 CDT
IC1683,4774.9,3.33,7,4.41,3.49,7.5,44.6,958,21.49,04/02/15 20:35:44 CDT
IC2247,4261.7,3.34,7,4.6,3.63,6.4,35.2,427,12.12,04/02/15 20:40:49 CDT
IC2487,4292.1,3.33,7,5.9,3.65,8.8,37.6,287,7.61,04/02/15 20:45:19 CDT
IC4566,5479.5,3.35,7,5.7,3.6,8.4,37.6,253,6.73,04/02/15 20:49:36 CDT
IC5376,4951.0,3.39,7,4.16,3.64,8.3,50.5,212,4.2,04/02/15 20:53:34 CDT
NGC0444,4762.1,2.47,7,4.5,3.53,11.1,64.5,294,4.55,04/02/15 20:57:51 CDT
NGC0447,5489.6,4.42,13,4.3,3.5,6.2,37.8,524,13.85,04/02/15 21:05:42 CDT
NGC0477,5751.4,3.66,7,4.53,3.48,9.2,54.0,299,5.52,04/02/15 21:09:45 CDT
NGC0496,5893.8,3.33,7,4.52,3.54,7.1,40.8,322,7.9,04/02/15 21:13:59 CDT
NGC0523,4683.0,3.64,7,4.33,3.58,8.3,49.2,584,11.88,04/02/15 21:18:56 CDT
NGC0528,4745.5,3.33,7,4.5,3.66,8.3,46.4,207,4.46,04/02/15 21:23:07 CDT
NGC0551,5113.3,3.28,7,4.5,3.53,7.0,40.5,263,6.49,04/02/15 21:27:16 CDT
NGC1167,4851.2,3.31,7,4.48,3.46,7.6,45.0,221,4.91,04/02/15 21:31:19 CDT
NGC2253,3542.0,3.33,7,5.41,3.84,9.1,40.3,687,17.06,04/02/15 21:36:39 CDT
NGC2347,4388.8,3.32,7,4.19,3.91,8.6,48.5,445,9.16,04/02/15 21:40:53 CDT
NGC2410,4602.2,6.68,13,4.56,3.72,9.2,50.0,342,6.85,04/02/15 21:49:05 CDT
NGC2480,2320.8,4.0,7,4.82,3.59,10.5,56.1,436,7.77,04/02/15 21:53:06 CDT
NGC2486,4569.7,0.97,7,4.23,3.75,11.4,66.3,325,4.9,04/02/15 22:00:28 CDT
NGC2487,4758.9,3.96,7,4.54,3.58,10.0,56.9,530,9.32,04/02/15 22:04:46 CDT
NGC2623,5437.6,3.32,7,4.61,3.66,5.4,29.5,1150,38.92,04/02/15 22:11:43 CDT
NGC2639,3150.0,3.35,7,4.78,3.54,10.1,55.1,531,9.62,04/02/15 22:16:16 CDT
NGC2730,3795.1,3.53,7,5.12,3.56,9.4,47.3,238,5.03,04/02/15 22:20:02 CDT
NGC2880,1530.1,4.65,7,4.09,3.95,11.9,68.0,308,4.53,04/05/15 16:34:58 CDT
NGC2906,2124.8,3.32,7,6.13,3.76,11.6,46.2,396,8.57,04/02/15 22:28:27 CDT
