Name,Dname,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
UGC09537,UGC09537,8576.5,0.67,7,9.34,7.13,17.9,24.8,110,4.45,4.28E+02,07/22/15 10:36:37 CDT
NGC2481,,2172,0.67,7,8.6,6.73,33.3,53,235,4.43,,07/21/15 21:09:44 CDT
UGC08231,,2454.3,0.66,7,9.31,6.34,25.5,39.8,176,4.43,1.09E+03,07/22/15 09:45:10 CDT
UGC10380,UGC10380,8510.7,0.66,7,9.46,6.61,20.9,30.8,136,4.42,6.35E+02,07/22/15 12:25:53 CDT
UGC08781,,7394.2,0.66,7,9.57,6.61,23.9,34.8,154,4.41,2.46E+02,07/22/15 10:17:35 CDT
NGC5631,,1968,0.66,7,10.61,6.43,22.9,31,137,4.41,1.48E+03,07/22/15 02:14:30 CDT
IC1151,IC1151,2159.9,0.33,7,8.27,6.57,34.2,58,255,4.39,1.69E+03,07/21/15 18:44:50 CDT
NGC5987,,2968.2,0.66,7,10.63,6.58,30.8,40.5,178,4.39,1.34E+03,07/22/15 03:53:11 CDT
NGC5876,,3231.8,0.69,7,8.67,6.31,18,30.3,133,4.39,1.03E+03,07/22/15 02:53:30 CDT
NGC6497,,6162,0.64,7,8.16,6.84,25.6,42.3,185,4.38,6.72E+02,07/22/15 06:17:07 CDT
NGC2449,,4818.5,0.66,7,7.31,6.44,27.7,54.3,237,4.37,4.97E+02,07/21/15 20:57:14 CDT
IC1199,IC1199,4663,0.66,7,8.63,6.22,23.9,41,179,4.37,9.24E+02,07/21/15 18:51:21 CDT
NGC6278,,2771.2,0.52,7,7.74,6.35,23.9,44.8,195,4.36,1.59E+02,07/22/15 05:30:13 CDT
UGC09919,UGC09919,3151.3,0.66,7,13.76,6.76,28.9,28.6,125,4.36,3.03E+03,07/22/15 11:28:07 CDT
NGC3160,,6709.1,1.28,7,8.56,5.94,12.2,22.2,96,4.35,3.34E+02,07/21/15 22:44:54 CDT
NGC3614,,2301.3,0.67,7,8.67,6.25,25.1,42.7,185,4.34,7.10E+02,07/21/15 23:04:44 CDT
NGC0444,NGC0444,4762.1,0.67,7,7.37,6.37,18.4,36.1,157,4.34,7.93E+01,07/21/15 19:37:24 CDT
IC5376,IC5376,4951,0.69,7,8.54,6.53,19,31.4,136,4.32,8.37E+02,07/21/15 19:31:05 CDT
NGC3158,,6777.2,1.27,7,7.81,6.04,11.7,22.8,99,4.32,1.49E+02,07/21/15 22:38:23 CDT
UGC04461,UGC04461,4906.5,0.66,7,11.04,6.38,23.2,30.3,130,4.3,2.32E+03,07/22/15 08:09:04 CDT
NGC3106,,6082.6,0.61,1,8.32,6.09,15.3,27.8,120,4.3,1.91E+02,07/21/15 22:33:55 CDT
UGC12864,,4603.2,0.67,7,6.82,6.11,22.2,49,210,4.29,1.23E+02,07/22/15 13:11:15 CDT
NGC6063,NGC6063,2831.1,0.68,7,7.87,6.46,25.6,46.4,198,4.28,3.15E+02,07/22/15 04:31:32 CDT
NGC4185,NGC4185,3834.2,0.67,7,7.78,6.52,25.4,46.1,197,4.28,1.65E+03,07/21/15 23:59:11 CDT
NGC6146,NGC6146,8505.6,0.66,7,8.82,7.09,17.6,25.9,111,4.27,8.98E+02,07/22/15 04:57:02 CDT
UGC09629,,7637.7,0.6,7,9.92,8.55,27.5,29.8,127,4.24,5.75E+02,07/22/15 10:55:14 CDT
NGC0528,NGC0528,4745.5,0.66,7,7.5,6.56,19.5,36.5,154,4.23,1.55E+02,07/21/15 20:11:30 CDT
UGC10331,UGC10331,4485.4,0.66,7,8.42,6.95,21.5,33.9,143,4.22,3.14E+02,07/22/15 12:13:21 CDT
UGC10796,,3034.6,0.65,7,11,7.02,26.8,31.9,135,4.22,1.40E+03,07/22/15 12:52:48 CDT
UGC05990,,1609.3,0.67,7,8.78,6.58,24.8,39.6,166,4.21,5.22E+02,07/22/15 09:06:18 CDT
UGC08778,,3209.6,0.67,7,8.48,5.91,20.9,38.4,161,4.2,8.36E+02,07/22/15 10:10:52 CDT
UGC10205,UGC10205,6432.9,0.66,7,11.97,6.19,20.8,25.8,108,4.2,1.38E+03,07/22/15 11:54:27 CDT
NGC4003,,6424.6,0.83,7,10.71,7.2,19.4,23.1,97,4.2,1.61E+03,07/21/15 23:38:37 CDT
NGC1093,,5213.7,0.67,7,12.29,6.69,34.1,38.2,160,4.19,1.42E+03,07/21/15 20:24:27 CDT
NGC5888,NGC5876,8471.4,0.66,7,7.67,6.95,18.2,31.4,131,4.17,7.16E+02,07/22/15 02:59:59 CDT
NGC3057,,1516.4,0.67,7,9.52,6.33,37.4,57.1,238,4.16,1.78E+03,07/21/15 22:30:06 CDT
UGC10097,,5844.9,0.65,7,8.92,6.43,19,30.4,126,4.15,2.51E+02,07/22/15 11:41:36 CDT
UGC10297,,2283.2,0.67,7,8.98,6.5,29.1,46,190,4.14,1.34E+03,07/22/15 12:07:18 CDT
NGC5971,,3341.1,0.84,7,9.04,6.24,18.8,30.7,127,4.14,1.96E+03,07/22/15 03:40:02 CDT
NGC4956,,4686.6,0.66,7,7.37,6.49,26.1,50.2,207,4.12,8.99E+02,07/22/15 00:49:22 CDT
