# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: radius, unit: arcsec, datatype: float64}
# - {name: Vrot, unit: km / s, datatype: float64, description: Rotation curve}
# - {name: e_Vrot, unit: km / s, datatype: float64, description: Error in rotation curve}
# - {name: Vrot_bsc, unit: km / s, datatype: float64, description: Beam smearing corrected rotation curve}
# - {name: e_Vrot_bsc, unit: km / s, datatype: float64, description: Error in corrected rotation curve}
# delimiter: ','
# meta: !!omap
# - {comments: CO Rotation Curves from 2018MNRAS.477..254L}
# - {date: '2020-06-22'}
# schema: astropy-2.0
Name,radius,Vrot,e_Vrot,Vrot_bsc,e_Vrot_bsc
UGC09665,15.4706,115.364,1.52436,113.295,12.4709
UGC09665,17.3963,121.487,3.21605,110.388,16.2195
UGC09665,19.4817,141.831,5.63296,143.096,18.5187
UGC09665,21.2587,188.586,8.86327,127.238,19.7199
UGC09665,24.4457,150.815,12.2825,144.391,12.9315
UGC09665,28.1228,125.963,8.20252,144.799,8.43261
UGC09892,3.39926,60.861,4.02999,67.6663,4.02689
UGC09892,7.08316,106.134,3.29255,122.018,3.28786
UGC09892,10.2611,133.444,10.1285,129.314,10.1434
UGC09892,13.8952,128.23,43.1271,142.733,43.0177
UGC10123,4.54514,85.918,3.78807,108.617,4.89097
UGC10123,8.61033,149.198,1.57851,169.277,3.15195
UGC10123,11.2208,176.512,1.25856,183.65,2.29055
UGC10123,13.0721,190.377,1.14175,194.256,2.23548
UGC10123,14.7183,200.137,0.887153,202.002,1.28913
UGC10123,16.7241,210.514,1.12495,210.734,1.44072
UGC10123,18.7001,217.573,1.33642,219.007,1.37451
UGC10123,22.1623,216.327,4.20258,215.273,5.88084
UGC10123,24.1833,212.952,6.61962,209.803,6.86462
UGC10384,3.9571,88.5042,2.29939,96.0329,3.44305
UGC10384,8.44488,147.684,1.29993,159.581,2.24201
UGC10384,10.902,169.219,0.9709,184.739,1.42489
UGC10384,12.8157,179.268,1.08957,182.87,1.80646
UGC10384,15.0706,190.04,1.56302,196.858,2.14054
UGC10384,17.1586,191.523,2.20963,188.432,3.0085
UGC10710,3.55808,147.851,6.55489,215.37,16.5663
UGC10710,6.36833,202.859,5.50453,235.393,15.5531
UGC10710,8.47672,201.972,6.55487,197.702,16.571
UGC10710,10.4642,225.744,4.84891,207.969,14.8379
UGC10710,12.5588,232.27,9.03343,205.814,18.9111
UGC10710,14.7875,260.91,9.05617,244.527,19.0229
UGC10710,17.5429,278.02,28.3854,249.147,28.1247
