# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_smo7, unit: km / s, datatype: float64}
# - {name: coNomaskSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coNomaskUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coDilatedSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coDilatedUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coSmoothSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coSmoothUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coMask2dSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coMask2dUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# delimiter: ','
# schema: astropy-2.0
Name,coVlsr_smo7,coNomaskSpec_smo7,coNomaskUnc_smo7,coDilatedSpec_smo7,coDilatedUnc_smo7,coSmoothSpec_smo7,coSmoothUnc_smo7,coMask2dSpec_smo7,coMask2dUnc_smo7
IC0540,1840.0,-0.22206,0.35276,nan,nan,nan,nan,-0.01898,0.06644
IC0540,1860.0,-0.00534,0.35276,nan,nan,nan,nan,0.08505,0.06644
IC0540,1880.0,0.23614,0.35272,nan,nan,0.03587,0.03337,0.13929,0.06643
IC0540,1900.0,0.27283,0.35269,0.01137,0.01655,0.03591,0.03819,0.02673,0.06643
IC0540,1920.0,0.03080,0.35269,0.03782,0.02296,0.11190,0.04190,0.04745,0.06643
IC0540,1940.0,-0.03909,0.35270,0.05674,0.02759,0.06159,0.04544,0.10077,0.06643
IC0540,1960.0,0.31369,0.35270,0.09067,0.03069,0.05094,0.04860,0.06421,0.06643
IC0540,1980.0,-0.14697,0.35270,0.12087,0.03000,0.12444,0.05092,0.07196,0.06642
IC0540,2000.0,-0.13883,0.35271,0.11752,0.03781,0.10055,0.05371,0.16946,0.06642
IC0540,2020.0,0.20606,0.35271,0.17599,0.03768,0.18727,0.06415,0.18839,0.06642
IC0540,2040.0,0.44643,0.35272,0.12951,0.03714,0.07360,0.06365,0.06763,0.06642
IC0540,2060.0,-0.28508,0.35272,0.10847,0.02789,0.17148,0.06331,0.14478,0.06642
IC0540,2080.0,0.18047,0.35272,0.09155,0.02544,0.08627,0.05430,0.09006,0.06642
IC0540,2100.0,-0.10106,0.35273,0.04704,0.02437,0.01414,0.05267,-0.00458,0.06641
IC0540,2120.0,0.25543,0.35273,0.05378,0.02286,0.03379,0.03598,0.04917,0.06641
IC0540,2140.0,0.08666,0.35273,0.01217,0.02073,0.01093,0.02502,0.03688,0.06641
IC0540,2160.0,-0.14533,0.35274,nan,nan,0.00994,0.01934,0.02947,0.06641
IC0540,2180.0,0.20502,0.35274,nan,nan,nan,nan,0.04170,0.06641
IC0540,2200.0,-0.18653,0.35275,nan,nan,nan,nan,0.01729,0.06640
IC0540,2220.0,0.00934,0.35275,nan,nan,nan,nan,0.01040,0.06640
IC0540,2240.0,0.24022,0.35275,nan,nan,nan,nan,0.02980,0.06640
IC0540,2260.0,-0.00284,0.35272,nan,nan,nan,nan,0.03545,0.06640
IC0540,2280.0,-0.05254,0.35272,nan,nan,nan,nan,0.05474,0.06640
IC0540,2300.0,0.33176,0.35272,nan,nan,nan,nan,-0.07170,0.06640
IC0540,2320.0,0.00193,0.35273,nan,nan,nan,nan,-0.07238,0.06639
IC0540,2340.0,-0.37973,0.35269,nan,nan,nan,nan,-0.01626,0.06639
IC0540,2360.0,0.13232,0.35266,nan,nan,nan,nan,-0.01210,0.06639
IC0540,2380.0,0.26219,0.35266,nan,nan,nan,nan,0.08941,0.06639
IC0540,2400.0,-0.22542,0.35263,nan,nan,nan,nan,0.03072,0.06639
